"# of Nearby Corpses:","근처 시체 수:"
"% to not Consume:","충전 미-소모 확률:"
"%Inc Armour from Tree","방어도 증가%(패시브)"
"%Inc ES from Tree","에너지 보호막 증가%(패시브)"
"%Inc Evasion from Tree","회피 증가%(패시브)"
"%Inc Life from Tree","생명력 증가%(패시브)"
"%Inc Mana from Tree","마나 증가%(패시브)"
"= {0} (Shockwave trigger threshold)","^7= {0} ^8(충격파의 발동 임계값)"
"= {0} (Slower Projectiles trigger threshold)","^7= {0} ^8(투사체 속도 감소의 발동 임계값)"
"= {0} (Spell Cascade trigger threshold)","^7= {0} ^8(연속 주문의 발동 임계값)"
"= {0} (Spell Echo trigger threshold)","^7= {0} ^8(주문 메아리의 발동 임계값)"
"= {0} (Spell Totem trigger threshold)","^7= {0} ^8(주문 토템의 발동 임계값)"
"= {0} (Spellblade trigger threshold)","^7= {0} ^8(주문칼날의 발동 임계값)"
"= {0} (Stun trigger threshold)","^7= {0} ^8(기절의 발동 임계값)"
"= {0} (Summon Phantasm trigger threshold)","^7= {0} ^8(환영 소환의 발동 임계값)"
"= {0} (Swift Affliction trigger threshold)","^7= {0} ^8(고통 격화의 발동 임계값)"
"= {0} (Swift Assembly trigger threshold)","^7= {0} ^8(재빠른 조립의 발동 임계값)"
"= {0} (Swiftbrand trigger threshold)","^7= {0} ^8(재빠른 낙인의 발동 임계값)"
"= {0} (Trap and Mine Damage trigger threshold)","^7= {0} ^8(덫 및 지뢰 피해의 발동 임계값)"
"= {0} (Trap trigger threshold)","^7= {0} ^8(덫의 발동 임계값)"
"= {0} (Trauma trigger threshold)","^7= {0} ^8(외상의 발동 임계값)"
"= {0} (Trinity trigger threshold)","^7= {0} ^8(삼위일체의 발동 임계값)"
"= {0} (Unbound Ailments trigger threshold)","^7= {0} ^8(벌어지는 상처의 발동 임계값)"
"= {0} (Unleash trigger threshold)","^7= {0} ^8(촉발의 발동 임계값)"
"= {0} (Urgent Orders trigger threshold)","^7= {0} ^8(긴급 명령의 발동 임계값)"
"= {0} (Vicious Projectiles trigger threshold)","^7= {0} ^8(포악한 투사체의 발동 임계값)"
"= {0} (Vile Toxins trigger threshold)","^7= {0} ^8(끔찍한 독소의 발동 임계값)"
"= {0} (Void Manipulation trigger threshold)","^7= {0} ^8(공허 조작의 발동 임계값)"
"= {0} (Volatility trigger threshold)","^7= {0} ^8(일촉즉발의 발동 임계값)"
"= {0} (Volley trigger threshold)","^7= {0} ^8(사격 공세의 발동 임계값)"
"= {0} (Withering Touch trigger threshold)","^7= {0} ^8(위축의 손길의 발동 임계값)"
"= {0} (effective movement speed modifier)","^7= {0} ^8(보정된 이동 속도  효율성)"
"= {0} (final cooldown of Absolution)","^7= {0} ^8(면죄의 최종 재사용 대기시간)"
"= {0} (final cooldown of Alchemist's Mark)","^7= {0} ^8(연금술사의 징표의 최종 재사용 대기시간)"
"= {0} (final cooldown of Ambush)","^7= {0} ^8(매복의 최종 재사용 대기시간)"
"= {0} (final cooldown of Ancestral Cry)","^7= {0} ^8(선대의 함성의 최종 재사용 대기시간)"
"= {0} (final cooldown of Ancestral Protector)","^7= {0} ^8(선대의 수호자의 최종 재사용 대기시간)"
"= {0} (final cooldown of Ancestral Warchief)","^7= {0} ^8(선대의 대전사의 최종 재사용 대기시간)"
"= {0} (final cooldown of Anger)","^7= {0} ^8(분노의 최종 재사용 대기시간)"
"= {0} (final cooldown of Animate Guardian)","^7= {0} ^8(수호자 기동의 최종 재사용 대기시간)"
"= {0} (final cooldown of Animate Weapon)","^7= {0} ^8(무기 기동의 최종 재사용 대기시간)"
"= {0} (final cooldown of Arc)","^7= {0} ^8(연쇄 번개의 최종 재사용 대기시간)"
"= {0} (final cooldown of Arcane Cloak)","^7= {0} ^8(비전의 망토의 최종 재사용 대기시간)"
"= {0} (final cooldown of Arcanist Brand)","^7= {0} ^8(신비학자 낙인의 최종 재사용 대기시간)"
"= {0} (final cooldown of Arctic Armour)","^7= {0} ^8(한기의 방어구의 최종 재사용 대기시간)"
"= {0} (final cooldown of Armageddon Brand)","^7= {0} ^8(종말의 낙인의 최종 재사용 대기시간)"
"= {0} (final cooldown of Artillery Ballista)","^7= {0} ^8(포대 쇠뇌의 최종 재사용 대기시간)"
"= {0} (final cooldown of Assassin's Mark)","^7= {0} ^8(암살자의 징표의 최종 재사용 대기시간)"
"= {0} (final cooldown of Ball Lightning)","^7= {0} ^8(구형 번개의 최종 재사용 대기시간)"
"= {0} (final cooldown of Bane)","^7= {0} ^8(파멸의 최종 재사용 대기시간)"
"= {0} (final cooldown of Barrage)","^7= {0} ^8(연발 사격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Battlemage's Cry)","^7= {0} ^8(전투마법사의 함성의 최종 재사용 대기시간)"
"= {0} (final cooldown of Bear Trap)","^7= {0} ^8(곰 덫의 최종 재사용 대기시간)"
"= {0} (final cooldown of Berserk)","^7= {0} ^8(광폭의 최종 재사용 대기시간)"
"= {0} (final cooldown of Blade Blast)","^7= {0} ^8(칼날 폭격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Blade Flurry)","^7= {0} ^8(질풍의 칼날의 최종 재사용 대기시간)"
"= {0} (final cooldown of Blade Trap)","^7= {0} ^8(칼날 덫의 최종 재사용 대기시간)"
"= {0} (final cooldown of Blade Vortex)","^7= {0} ^8(칼날 소용돌이의 최종 재사용 대기시간)"
"= {0} (final cooldown of Bladefall)","^7= {0} ^8(칼날비의 최종 재사용 대기시간)"
"= {0} (final cooldown of Bladestorm)","^7= {0} ^8(칼날 폭풍의 최종 재사용 대기시간)"
"= {0} (final cooldown of Blast Rain)","^7= {0} ^8(폭발 화살비의 최종 재사용 대기시간)"
"= {0} (final cooldown of Blazing Salvo)","^7= {0} ^8(맹렬한 포격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Blight)","^7= {0} ^8(황폐의 최종 재사용 대기시간)"
"= {0} (final cooldown of Blink Arrow)","^7= {0} ^8(점멸 화살의 최종 재사용 대기시간)"
"= {0} (final cooldown of Blood Rage)","^7= {0} ^8(피의 격노의 최종 재사용 대기시간)"
"= {0} (final cooldown of Blood and Sand)","^7= {0} ^8(피와 모래의 최종 재사용 대기시간)"
"= {0} (final cooldown of Bodyswap)","^7= {0} ^8(신체 전환의 최종 재사용 대기시간)"
"= {0} (final cooldown of Bone Offering)","^7= {0} ^8(뼈 공물의 최종 재사용 대기시간)"
"= {0} (final cooldown of Boneshatter)","^7= {0} ^8(뼈 박살의 최종 재사용 대기시간)"
"= {0} (final cooldown of Brand Recall)","^7= {0} ^8(낙인 소환의 최종 재사용 대기시간)"
"= {0} (final cooldown of Burning Arrow)","^7= {0} ^8(불타는 화살의 최종 재사용 대기시간)"
"= {0} (final cooldown of Caustic Arrow)","^7= {0} ^8(부식성 화살의 최종 재사용 대기시간)"
"= {0} (final cooldown of Chain Hook)","^7= {0} ^8(사슬 갈고리의 최종 재사용 대기시간)"
"= {0} (final cooldown of Charged Dash)","^7= {0} ^8(충전 질주의 최종 재사용 대기시간)"
"= {0} (final cooldown of Clarity)","^7= {0} ^8(명상의 최종 재사용 대기시간)"
"= {0} (final cooldown of Cleave)","^7= {0} ^8(회전베기의 최종 재사용 대기시간)"
"= {0} (final cooldown of Cobra Lash)","^7= {0} ^8(코브라 채찍의 최종 재사용 대기시간)"
"= {0} (final cooldown of Cold Snap)","^7= {0} ^8(한파의 최종 재사용 대기시간)"
"= {0} (final cooldown of Conductivity)","^7= {0} ^8(전도성의 최종 재사용 대기시간)"
"= {0} (final cooldown of Consecrated Path)","^7= {0} ^8(축성의 진격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Contagion)","^7= {0} ^8(전염의 최종 재사용 대기시간)"
"= {0} (final cooldown of Conversion Trap)","^7= {0} ^8(전향 덫의 최종 재사용 대기시간)"
"= {0} (final cooldown of Convocation)","^7= {0} ^8(소집의 최종 재사용 대기시간)"
"= {0} (final cooldown of Corrupting Fever)","^7= {0} ^8(타락한 열병의 최종 재사용 대기시간)"
"= {0} (final cooldown of Crackling Lance)","^7= {0} ^8(치직대는 창의 최종 재사용 대기시간)"
"= {0} (final cooldown of Creeping Frost)","^7= {0} ^8(엄습하는 서리의 최종 재사용 대기시간)"
"= {0} (final cooldown of Cremation)","^7= {0} ^8(시체 소각의 최종 재사용 대기시간)"
"= {0} (final cooldown of Cyclone)","^7= {0} ^8(회오리바람의 최종 재사용 대기시간)"
"= {0} (final cooldown of Dark Pact)","^7= {0} ^8(어둠의 서약의 최종 재사용 대기시간)"
"= {0} (final cooldown of Dash)","^7= {0} ^8(질주의 최종 재사용 대기시간)"
"= {0} (final cooldown of Decoy Totem)","^7= {0} ^8(미끼 토템의 최종 재사용 대기시간)"
"= {0} (final cooldown of Defiance Banner)","^7= {0} ^8(저항의 깃발의 최종 재사용 대기시간)"
"= {0} (final cooldown of Desecrate)","^7= {0} ^8(모독의 최종 재사용 대기시간)"
"= {0} (final cooldown of Despair)","^7= {0} ^8(절망의 최종 재사용 대기시간)"
"= {0} (final cooldown of Destructive Link)","^7= {0} ^8(파괴의 연결의 최종 재사용 대기시간)"
"= {0} (final cooldown of Determination)","^7= {0} ^8(결의의 최종 재사용 대기시간)"
"= {0} (final cooldown of Detonate Dead)","^7= {0} ^8(시체 폭발의 최종 재사용 대기시간)"
"= {0} (final cooldown of Devouring Totem)","^7= {0} ^8(포식 토템의 최종 재사용 대기시간)"
"= {0} (final cooldown of Discharge)","^7= {0} ^8(방출의 최종 재사용 대기시간)"
"= {0} (final cooldown of Discipline)","^7= {0} ^8(단련의 최종 재사용 대기시간)"
"= {0} (final cooldown of Divine Ire)","^7= {0} ^8(신성한 진노의 최종 재사용 대기시간)"
"= {0} (final cooldown of Dominating Blow)","^7= {0} ^8(지배의 맹타의 최종 재사용 대기시간)"
"= {0} (final cooldown of Double Strike)","^7= {0} ^8(이중 타격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Dread Banner)","^7= {0} ^8(공포의 깃발의 최종 재사용 대기시간)"
"= {0} (final cooldown of Dual Strike)","^7= {0} ^8(쌍수 타격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Earthquake)","^7= {0} ^8(지진의 최종 재사용 대기시간)"
"= {0} (final cooldown of Earthshatter)","^7= {0} ^8(지면 분쇄의 최종 재사용 대기시간)"
"= {0} (final cooldown of Elemental Hit)","^7= {0} ^8(원소의 일격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Elemental Weakness)","^7= {0} ^8(원소 약화의 최종 재사용 대기시간)"
"= {0} (final cooldown of Enduring Cry)","^7= {0} ^8(인내의 함성의 최종 재사용 대기시간)"
"= {0} (final cooldown of Energy Blade)","^7= {0} ^8(에너지 칼날의 최종 재사용 대기시간)"
"= {0} (final cooldown of Enfeeble)","^7= {0} ^8(쇠약화의 최종 재사용 대기시간)"
"= {0} (final cooldown of Ensnaring Arrow)","^7= {0} ^8(올가미 화살의 최종 재사용 대기시간)"
"= {0} (final cooldown of Essence Drain)","^7= {0} ^8(정수 흡수의 최종 재사용 대기시간)"
"= {0} (final cooldown of Ethereal Knives)","^7= {0} ^8(천상의 단도의 최종 재사용 대기시간)"
"= {0} (final cooldown of Explosive Arrow)","^7= {0} ^8(폭발 화살의 최종 재사용 대기시간)"
"= {0} (final cooldown of Explosive Concoction)","^7= {0} ^8(폭발성 혼합물의 최종 재사용 대기시간)"
"= {0} (final cooldown of Explosive Trap)","^7= {0} ^8(폭발 덫의 최종 재사용 대기시간)"
"= {0} (final cooldown of Exsanguinate)","^7= {0} ^8(방혈의 최종 재사용 대기시간)"
"= {0} (final cooldown of Eye of Winter)","^7= {0} ^8(겨울의 눈의 최종 재사용 대기시간)"
"= {0} (final cooldown of Fire Trap)","^7= {0} ^8(화염 덫의 최종 재사용 대기시간)"
"= {0} (final cooldown of Fireball)","^7= {0} ^8(화염구의 최종 재사용 대기시간)"
"= {0} (final cooldown of Firestorm)","^7= {0} ^8(화염 폭풍의 최종 재사용 대기시간)"
"= {0} (final cooldown of Flame Dash)","^7= {0} ^8(화염 질주의 최종 재사용 대기시간)"
"= {0} (final cooldown of Flame Link)","^7= {0} ^8(화염의 연결의 최종 재사용 대기시간)"
"= {0} (final cooldown of Flame Surge)","^7= {0} ^8(화염 쇄도의 최종 재사용 대기시간)"
"= {0} (final cooldown of Flame Wall)","^7= {0} ^8(화염 벽의 최종 재사용 대기시간)"
"= {0} (final cooldown of Flameblast)","^7= {0} ^8(화염파의 최종 재사용 대기시간)"
"= {0} (final cooldown of Flamethrower Trap)","^7= {0} ^8(화염방사기 덫의 최종 재사용 대기시간)"
"= {0} (final cooldown of Flammability)","^7= {0} ^8(인화성의 최종 재사용 대기시간)"
"= {0} (final cooldown of Flesh Offering)","^7= {0} ^8(살점 공물의 최종 재사용 대기시간)"
"= {0} (final cooldown of Flesh and Stone)","^7= {0} ^8(육체와 돌의 최종 재사용 대기시간)"
"= {0} (final cooldown of Flicker Strike)","^7= {0} ^8(점멸 타격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Forbidden Rite)","^7= {0} ^8(금단의 의식의 최종 재사용 대기시간)"
"= {0} (final cooldown of Freezing Pulse)","^7= {0} ^8(동결 파동의 최종 재사용 대기시간)"
"= {0} (final cooldown of Frenzy)","^7= {0} ^8(격분의 최종 재사용 대기시간)"
"= {0} (final cooldown of Frost Blades)","^7= {0} ^8(서리 칼날의 최종 재사용 대기시간)"
"= {0} (final cooldown of Frost Bomb)","^7= {0} ^8(서리 폭탄의 최종 재사용 대기시간)"
"= {0} (final cooldown of Frost Shield)","^7= {0} ^8(서리 방패의 최종 재사용 대기시간)"
"= {0} (final cooldown of Frost Wall)","^7= {0} ^8(서리 방벽의 최종 재사용 대기시간)"
"= {0} (final cooldown of Frostbite)","^7= {0} ^8(동상의 최종 재사용 대기시간)"
"= {0} (final cooldown of Frostblink)","^7= {0} ^8(서리점멸의 최종 재사용 대기시간)"
"= {0} (final cooldown of Frostbolt)","^7= {0} ^8(서리 구체의 최종 재사용 대기시간)"
"= {0} (final cooldown of Frozen Legion)","^7= {0} ^8(얼어붙은 군단의 최종 재사용 대기시간)"
"= {0} (final cooldown of Galvanic Arrow)","^7= {0} ^8(충격 화살의 최종 재사용 대기시간)"
"= {0} (final cooldown of Galvanic Field)","^7= {0} ^8(충격장의 최종 재사용 대기시간)"
"= {0} (final cooldown of General's Cry)","^7= {0} ^8(장군의 함성의 최종 재사용 대기시간)"
"= {0} (final cooldown of Glacial Cascade)","^7= {0} ^8(빙하 폭포의 최종 재사용 대기시간)"
"= {0} (final cooldown of Glacial Hammer)","^7= {0} ^8(빙하 망치의 최종 재사용 대기시간)"
"= {0} (final cooldown of Grace)","^7= {0} ^8(은총의 최종 재사용 대기시간)"
"= {0} (final cooldown of Ground Slam)","^7= {0} ^8(대지 강타의 최종 재사용 대기시간)"
"= {0} (final cooldown of Haste)","^7= {0} ^8(가속의 최종 재사용 대기시간)"
"= {0} (final cooldown of Hatred)","^7= {0} ^8(증오의 최종 재사용 대기시간)"
"= {0} (final cooldown of Heavy Strike)","^7= {0} ^8(묵직한 타격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Herald of Agony)","^7= {0} ^8(고통의 전령의 최종 재사용 대기시간)"
"= {0} (final cooldown of Herald of Ash)","^7= {0} ^8(재의 전령의 최종 재사용 대기시간)"
"= {0} (final cooldown of Herald of Ice)","^7= {0} ^8(얼음의 전령의 최종 재사용 대기시간)"
"= {0} (final cooldown of Herald of Purity)","^7= {0} ^8(순수의 전령의 최종 재사용 대기시간)"
"= {0} (final cooldown of Herald of Thunder)","^7= {0} ^8(천둥의 전령의 최종 재사용 대기시간)"
"= {0} (final cooldown of Hexblast)","^7= {0} ^8(사술 폭발의 최종 재사용 대기시간)"
"= {0} (final cooldown of Holy Flame Totem)","^7= {0} ^8(신성한 화염 토템의 최종 재사용 대기시간)"
"= {0} (final cooldown of Hydrosphere)","^7= {0} ^8(물의 구체의 최종 재사용 대기시간)"
"= {0} (final cooldown of Ice Crash)","^7= {0} ^8(얼음 충격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Ice Nova)","^7= {0} ^8(얼음 폭발의 최종 재사용 대기시간)"
"= {0} (final cooldown of Ice Shot)","^7= {0} ^8(얼음 화살의 최종 재사용 대기시간)"
"= {0} (final cooldown of Ice Spear)","^7= {0} ^8(얼음 창의 최종 재사용 대기시간)"
"= {0} (final cooldown of Ice Trap)","^7= {0} ^8(얼음 덫의 최종 재사용 대기시간)"
"= {0} (final cooldown of Icicle Mine)","^7= {0} ^8(고드름 지뢰의 최종 재사용 대기시간)"
"= {0} (final cooldown of Immortal Call)","^7= {0} ^8(불멸의 외침의 최종 재사용 대기시간)"
"= {0} (final cooldown of Incinerate)","^7= {0} ^8(소각의 최종 재사용 대기시간)"
"= {0} (final cooldown of Infernal Blow)","^7= {0} ^8(지옥불 맹타의 최종 재사용 대기시간)"
"= {0} (final cooldown of Infernal Cry)","^7= {0} ^8(지옥불 함성의 최종 재사용 대기시간)"
"= {0} (final cooldown of Intimidating Cry)","^7= {0} ^8(위협의 함성의 최종 재사용 대기시간)"
"= {0} (final cooldown of Intuitive Link)","^7= {0} ^8(직관의 연결의 최종 재사용 대기시간)"
"= {0} (final cooldown of Kinetic Blast)","^7= {0} ^8(역학 폭발의 최종 재사용 대기시간)"
"= {0} (final cooldown of Kinetic Bolt)","^7= {0} ^8(역학 투사체의 최종 재사용 대기시간)"
"= {0} (final cooldown of Lacerate)","^7= {0} ^8(피부 찢기의 최종 재사용 대기시간)"
"= {0} (final cooldown of Lancing Steel)","^7= {0} ^8(강철 관통의 최종 재사용 대기시간)"
"= {0} (final cooldown of Leap Slam)","^7= {0} ^8(도약 강타의 최종 재사용 대기시간)"
"= {0} (final cooldown of Lightning Arrow)","^7= {0} ^8(번개 화살의 최종 재사용 대기시간)"
"= {0} (final cooldown of Lightning Conduit)","^7= {0} ^8(번개 도관의 최종 재사용 대기시간)"
"= {0} (final cooldown of Lightning Spire Trap)","^7= {0} ^8(번개 첨탑 덫의 최종 재사용 대기시간)"
"= {0} (final cooldown of Lightning Strike)","^7= {0} ^8(번개 타격의 최종 재사용 대기시간)"
"= {0} (final cooldown of Lightning Tendrils)","^7= {0} ^8(덩굴 번개의 최종 재사용 대기시간)"
"= {0} (final cooldown of Lightning Trap)","^7= {0} ^8(번개 덫의 최종 재사용 대기시간)"
"= {0} (final cooldown of Lightning Warp)","^7= {0} ^8(번개 차원 이동의 최종 재사용 대기시간)"
"= {0} (final cooldown of Malevolence)","^7= {0} ^8(악의의 최종 재사용 대기시간)"
"= {0} (final cooldown of Manabond)","^7= {0} ^8(마나 결속의 최종 재사용 대기시간)"
"= {0} (final cooldown of Mirror Arrow)","^7= {0} ^8(거울 화살의 최종 재사용 대기시간)"
"= {0} (final cooldown of Molten Shell)","^7= {0} ^8(용암 방패의 최종 재사용 대기시간)"
