Absolution,면죄
"Superior Intimidating Cry","상급 위협의 함성"
"Superior Intuitive Link","상급 직관의 연결"
"Superior Iron Grip","상급 강철 손아귀 보조"
"Superior Iron Will","상급 강철의 의지 보조"
"Superior Item Rarity","상급 아이템 희귀도 보조"
"Superior Kinetic Blast","상급 역학 폭발"
"Superior Kinetic Bolt","상급 역학 투사체"
"Superior Knockback","상급 밀어내기 보조"
"Superior Lacerate","상급 피부 찢기"
"Superior Lancing Steel","상급 강철 관통"
"Superior Leap Slam","상급 도약 강타"
"Superior Less Duration","상급 지속시간 감소 보조"
"Superior Lesser Multiple Projectiles","상급 하위 다중 투사체 보조"
"Superior Life Gain on Hit","상급 명중 시 생명력 획득 보조"
"Superior Life Leech","상급 생명력 흡수 보조"
"Superior Lifetap","상급 생명력 전환 보조"
"Superior Lightning Arrow","상급 번개 화살"
"Superior Lightning Conduit","상급 번개 도관"
"Superior Lightning Penetration","상급 번개 관통 보조"
"Superior Lightning Spire Trap","상급 번개 첨탑 덫"
"Superior Lightning Strike","상급 번개 타격"
"Superior Lightning Tendrils","상급 덩굴 번개"
"Superior Lightning Trap","상급 번개 덫"
"Superior Lightning Warp","상급 번개 차원 이동"
"Superior Maim","상급 힘줄 절단 보조"
"Superior Malevolence","상급 악의"
"Superior Mana Leech","상급 마나 흡수 보조"
"Superior Manabond","상급 마나 결속"
"Superior Manaforged Arrows","상급 마나벼림 화살 보조"
"Superior Mark On Hit","상급 명중 시 징표 보조"
"Superior Meat Shield","상급 육탄 방어 보조"
"Superior Melee Physical Damage","상급 근접 물리 피해 보조"
"Superior Melee Splash","상급 근접 범위 피해 보조"
"Superior Minefield","상급 지뢰밭 보조"
"Superior Minion Damage","상급 소환수 피해 보조"
"Superior Minion Life","상급 소환수 생명력 보조"
"Superior Minion Speed","상급 소환수 속도 보조"
"Superior Mirage Archer","상급 신기루 궁수 보조"
"Superior Mirror Arrow","상급 거울 화살"
"Superior Molten Shell","상급 용암 방패"
"Superior Molten Strike","상급 용암 타격"
"Superior Momentum","상급 기세 보조"
"Superior Multiple Totems","상급 다중 토템 보조"
"Superior Multiple Traps","상급 다중 덫 보조"
"Superior Multistrike","상급 연속타격 보조"
"Superior Nightblade","상급 밤의 칼날 보조"
"Superior Orb of Storms","상급 폭풍 보주"
"Superior Overcharge","상급 과충전 보조"
"Superior Penance Brand","상급 속죄의 낙인"
"Superior Perforate","상급 천공"
"Superior Pestilent Strike","상급 전염성 일격"
"Superior Petrified Blood","상급 피 석화"
"Superior Phase Run","상급 위상 질주"
"Superior Physical to Lightning","상급 물리 번개 전환 보조"
"Superior Pierce","상급 관통 보조"
"Superior Pinpoint","상급 핵심 조준 보조"
"Superior Plague Bearer","상급 독성 운반자"
"Superior Poacher's Mark","상급 밀렵꾼의 징표"
"Superior Point Blank","상급 근접 사격 보조"
"Superior Poisonous Concoction","상급 독성 혼합물"
"Superior Portal","상급 포탈"
"Superior Power Charge On Critical","상급 치명타 시 권능 충전 보조"
"Superior Power Siphon","상급 권능 착취"
"Superior Precision","상급 정밀함"
"Superior Predator","상급 포식자 보조"
"Superior Pride","상급 자부심"
"Superior Prismatic Burst","상급 분광 격발 보조"
"Superior Protective Link","상급 보호의 연결"
"Superior Pulverise","상급 분쇄 보조"
"Superior Puncture","상급 관통상"
"Superior Punishment","상급 응징"
"Superior Purifying Flame","상급 정화의 불길"
"Superior Purity of Elements","상급 원소의 순수함"
"Superior Purity of Fire","상급 불의 순수함"
"Superior Purity of Ice","상급 얼음의 순수함"
"Superior Purity of Lightning","상급 번개의 순수함"
"Superior Pyroclast Mine","상급 화산탄 지뢰"
"Superior Quickstep","상급 빠른 걸음"
"Superior Rage","상급 격노 보조"
"Superior Rage Vortex","상급 격노 소용돌이"
"Superior Rain of Arrows","상급 화살비"
"Superior Raise Spectre","상급 망령 소환"
"Superior Raise Zombie","상급 좀비 소환"
"Superior Rallying Cry","상급 집결의 함성"
"Superior Reap","상급 낫질"
"Superior Reave","상급 약탈"
"Superior Reckoning","상급 역습"
"Superior Rejuvenation Totem","상급 회복 토템"
"Superior Righteous Fire","상급 정의의 화염"
"Superior Riposte","상급 반격"
"Superior Rolling Magma","상급 몰려오는 마그마"
"Superior Ruthless","상급 무자비 보조"
"Superior Scorching Ray","상급 작열 광선"
"Superior Scourge Arrow","상급 재앙의 화살"
"Superior Searing Bond","상급 불타는 굴레"
"Superior Second Wind","상급 새로운 활력 보조"
"Superior Seismic Cry","상급 지진 함성"
"Superior Seismic Trap","상급 지진 덫"
"Superior Shattering Steel","상급 강철 파편"
"Superior Shield Charge","상급 방패 돌진"
"Superior Shield Crush","상급 방패 타쇄"
"Superior Shock Nova","상급 충격 폭발"
"Superior Shockwave","상급 충격파 보조"
"Superior Shockwave Totem","상급 충격파 토템"
"Superior Shrapnel Ballista","상급 파편 쇠뇌"
"Superior Siege Ballista","상급 공성 쇠뇌"
"Superior Sigil of Power","상급 힘의 부적"
"Superior Siphoning Trap","상급 착취 덫"
"Superior Slower Projectiles","상급 투사체 속도 감소 보조"
"Superior Smite","상급 징벌"
"Superior Smoke Mine","상급 연막 지뢰"
"Superior Snipe","상급 저격"
"Superior Sniper's Mark","상급 저격수의 징표"
"Superior Soul Link","상급 영혼의 연결"
"Superior Soulrend","상급 영혼 분리"
"Superior Spark","상급 전기불꽃"
"Superior Spectral Helix","상급 영체 나선"
"Superior Spectral Shield Throw","상급 환영 방패 투척"
"Superior Spectral Throw","상급 환영 무기 투척"
"Superior Spell Cascade","상급 연속 주문 보조"
"Superior Spell Echo","상급 주문 메아리 보조"
"Superior Spell Totem","상급 주문 토템 보조"
"Superior Spellslinger","상급 주문투척"
"Superior Spirit Offering","상급 영혼 공물"
"Superior Split Arrow","상급 분할 화살"
"Superior Splitting Steel","상급 강철 분할"
"Superior Static Strike","상급 정전기 타격"
"Superior Steelskin","상급 강철피부"
"Superior Storm Brand","상급 폭풍의 낙인"
"Superior Storm Burst","상급 폭풍 점사"
"Superior Storm Call","상급 폭풍 부름"
"Superior Storm Rain","상급 폭풍우"
"Superior Stormbind","상급 폭풍 연대"
"Superior Stormblast Mine","상급 태풍 파열 지뢰"
"Superior Stun","상급 기절 보조"
"Superior Summon Carrion Golem","상급 부패 골렘 소환"
"Superior Summon Chaos Golem","상급 카오스 골렘 소환"
"Superior Summon Flame Golem","상급 화염 골렘 소환"
"Superior Summon Holy Relic","상급 신성한 유물 소환"
"Superior Summon Ice Golem","상급 얼음 골렘 소환"
"Superior Summon Lightning Golem","상급 번개 골렘 소환"
"Superior Summon Phantasm","상급 환영 소환 보조"
"Superior Summon Raging Spirit","상급 격노의 유령 소환"
"Superior Summon Reaper","상급 수확자 소환"
"Superior Summon Skeletons","상급 해골 소환"
"Superior Summon Skitterbots","상급 원격 기폭 장치 소환"
"Superior Summon Stone Golem","상급 돌 골렘 소환"
"Superior Sunder","상급 산산조각"
"Superior Sweep","상급 휩쓸기"
"Superior Swift Affliction","상급 고통 격화 보조"
"Superior Swift Assembly","상급 재빠른 조립 보조"
"Superior Swiftbrand","상급 재빠른 낙인 보조"
"Superior Tectonic Slam","상급 지층 강타"
"Superior Tempest Shield","상급 폭풍의 방패"
"Superior Temporal Chains","상급 시간의 사슬"
"Superior Temporal Rift","상급 시간의 균열"
"Superior Tornado","상급 회오리"
"Superior Tornado Shot","상급 회오리 사격"
"Superior Toxic Rain","상급 맹독성 비"
"Superior Trap","상급 덫 보조"
"Superior Trap and Mine Damage","상급 덫 및 지뢰 피해 보조"
"Superior Trinity","상급 삼위일체 보조"
"Superior Unbound Ailments","상급 벌어지는 상처 보조"
"Superior Unearth","상급 발굴"
"Superior Unleash","상급 촉발 보조"
"Superior Urgent Orders","상급 긴급 명령 보조"
"Superior Vaal Absolution","상급 바알 면죄"
"Superior Vaal Ancestral Warchief","상급 바알 선대의 대전사"
"Superior Vaal Animate Weapon","상급 바알 무기 기동"
"Superior Vaal Arc","상급 바알 연쇄 번개"
"Superior Vaal Arctic Armour","상급 바알 한기의 방어구"
"Superior Vaal Blade Flurry","상급 바알 질풍의 칼날"
"Superior Vaal Blade Vortex","상급 바알 칼날 소용돌이"
"Superior Vaal Blight","상급 바알 황폐"
"Superior Vaal Breach","상급 바알 균열"
"Superior Vaal Burning Arrow","상급 바알 불타는 화살"
"Superior Vaal Caustic Arrow","상급 바알 부식성 화살"
"Superior Vaal Clarity","상급 바알 명상"
"Superior Vaal Cleave","상급 바알 회전베기"
"Superior Vaal Cold Snap","상급 바알 한파"
"Superior Vaal Cyclone","상급 바알 회오리바람"
"Superior Vaal Detonate Dead","상급 바알 시체 폭발"
"Superior Vaal Discipline","상급 바알 단련"
"Superior Vaal Domination","상급 바알 지배"
"Superior Vaal Double Strike","상급 바알 이중 타격"
"Superior Vaal Earthquake","상급 바알 지진"
"Superior Vaal Fireball","상급 바알 화염구"
"Superior Vaal Firestorm","상급 바알 화염 폭풍"
"Superior Vaal Flameblast","상급 바알 화염파"
"Superior Vaal Flicker Strike","상급 바알 점멸 타격"
"Superior Vaal Glacial Hammer","상급 바알 빙하 망치"
"Superior Vaal Grace","상급 바알 은총"
"Superior Vaal Ground Slam","상급 바알 대지 강타"
"Superior Vaal Haste","상급 바알 가속"
"Superior Vaal Ice Nova","상급 바알 얼음 폭발"
"Superior Vaal Ice Shot","상급 바알 얼음 화살"
"Superior Vaal Immortal Call","상급 바알 불멸의 외침"
"Superior Vaal Impurity of Fire","상급 바알 불의 부정함"
"Superior Vaal Impurity of Ice","상급 바알 얼음의 부정함"
"Superior Vaal Impurity of Lightning","상급 바알 번개의 부정함"
"Superior Vaal Lightning Arrow","상급 바알 번개 화살"
"Superior Vaal Lightning Strike","상급 바알 번개 타격"
"Superior Vaal Lightning Trap","상급 바알 번개 덫"
"Superior Vaal Lightning Warp","상급 바알 번개 차원 이동"
"Superior Vaal Molten Shell","상급 바알 용암 방패"
"Superior Vaal Molten Strike","상급 바알 용암 타격"
"Superior Vaal Power Siphon","상급 바알 권능 착취"
"Superior Vaal Rain of Arrows","상급 바알 화살비"
"Superior Vaal Reap","상급 바알 낫질"
"Superior Vaal Reave","상급 바알 약탈"
"Superior Vaal Rejuvenation Totem","상급 바알 회복 토템"
"Superior Vaal Righteous Fire","상급 바알 정의의 화염"
"Superior Vaal Smite","상급 바알 징벌"
"Superior Vaal Spark","상급 바알 전기불꽃"
"Superior Vaal Spectral Throw","상급 바알 환영 무기 투척"
"Superior Vaal Split Arrow","상급 바알 분할 화살"
"Superior Vaal Storm Call","상급 바알 폭풍 부름"
"Superior Vaal Summon Skeletons","상급 바알 해골 소환"
"Superior Vaal Venom Gyre","상급 바알 독액 선회"
"Superior Vaal Volcanic Fissure","상급 바알 화산 균열"
"Superior Vampiric Link","상급 흡혈의 연결"
"Superior Vengeance","상급 복수"
"Superior Venom Gyre","상급 독액 선회"
"Superior Vicious Projectiles","상급 포악한 투사체 보조"
"Superior Vigilant Strike","상급 경계 타격"
"Superior Vile Toxins","상급 끔찍한 독소 보조"
"Superior Viper Strike","상급 맹독 타격"
"Superior Vitality","상급 활력"
"Superior Void Manipulation","상급 공허 조작 보조"
"Superior Void Sphere","상급 공허 구체"
"Superior Volatile Dead","상급 시체 불덩이"
"Superior Volcanic Fissure","상급 화산 균열"
"Superior Volley","상급 사격 공세 보조"
"Superior Voltaxic Burst","상급 전도성 격발"
"Superior Vortex","상급 소용돌이"
"Superior Vulnerability","상급 취약성"
"Superior War Banner","상급 전쟁 깃발"
"Superior Warlord's Mark","상급 전쟁군주의 징표"
"Superior Wave of Conviction","상급 신념의 파도"
"Superior Whirling Blades","상급 칼날 선회"
"Superior Wild Strike","상급 사나운 타격"
"Superior Winter Orb","상급 겨울 보주"
"Superior Wintertide Brand","상급 겨울의 낙인"
"Superior Wither","상급 위축"
"Superior Withering Step","상급 고사시키는 걸음"
"Superior Withering Touch","상급 위축의 손길 보조"
"Superior Wrath","상급 진노"
"Superior Zealotry","상급 열광"
"Divergent Absolution","상이한 면죄"
"Divergent Added Chaos Damage","상이한 카오스 피해 추가 보조"
"Divergent Added Cold Damage","상이한 냉기 피해 추가 보조"
"Divergent Added Fire Damage","상이한 화염 피해 추가 보조"
"Divergent Added Lightning Damage","상이한 번개 피해 추가 보조"
"Divergent Additional Accuracy","상이한 정확도 추가 보조"
"Divergent Advanced Traps","상이한 향상된 덫 보조"
"Divergent Alchemist's Mark","상이한 연금술사의 징표"
"Divergent Ambush","상이한 매복"
"Divergent Ancestral Call","상이한 선대의 부름 보조"
"Divergent Ancestral Cry","상이한 선대의 함성"
"Divergent Ancestral Protector","상이한 선대의 수호자"
"Divergent Ancestral Warchief","상이한 선대의 대전사"
"Divergent Anger","상이한 분노"
"Divergent Animate Guardian","상이한 수호자 기동"
"Divergent Animate Weapon","상이한 무기 기동"
"Divergent Arc","상이한 연쇄 번개"
"Divergent Arcane Cloak","상이한 비전의 망토"
"Divergent Arcane Surge","상이한 비전 쇄도 보조"
"Divergent Arcanist Brand","상이한 신비학자 낙인"
"Divergent Archmage","상이한 대마법사 보조"
"Divergent Arctic Armour","상이한 한기의 방어구"
"Divergent Armageddon Brand","상이한 종말의 낙인"
"Divergent Arrogance","상이한 오만 보조"
"Divergent Arrow Nova","상이한 화살 산개 보조"
"Divergent Artillery Ballista","상이한 포대 쇠뇌"
"Divergent Assassin's Mark","상이한 암살자의 징표"
"Divergent Ball Lightning","상이한 구형 번개"
"Divergent Ballista Totem","상이한 쇠뇌 토템 보조"
"Divergent Bane","상이한 파멸"
"Divergent Barrage","상이한 연발 사격"
"Divergent Barrage Support","상이한 연발 사격 보조"
"Divergent Battlemage's Cry","상이한 전투마법사의 함성"
"Divergent Bear Trap","상이한 곰 덫"
"Divergent Behead","상이한 참수 보조"
"Divergent Berserk","상이한 광폭"
"Divergent Blade Blast","상이한 칼날 폭격"
"Divergent Blade Flurry","상이한 질풍의 칼날"
"Divergent Blade Trap","상이한 칼날 덫"
"Divergent Blade Vortex","상이한 칼날 소용돌이"
"Divergent Bladefall","상이한 칼날비"
"Divergent Bladestorm","상이한 칼날 폭풍"
"Divergent Blasphemy","상이한 신성 모독 보조"
"Divergent Blast Rain","상이한 폭발 화살비"
"Divergent Blastchain Mine","상이한 연쇄 폭발 지뢰 보조"
"Divergent Blazing Salvo","상이한 맹렬한 포격"
"Divergent Blight","상이한 황폐"
"Divergent Blind","상이한 실명 보조"
"Divergent Blink Arrow","상이한 점멸 화살"
"Divergent Block Chance Reduction","상이한 막기 확률 감소 보조"
"Divergent Blood and Sand","상이한 피와 모래"
"Divergent Blood Rage","상이한 피의 격노"
"Divergent Bloodlust","상이한 유혈 충동 보조"
"Divergent Bloodthirst","상이한 피의 갈증 보조"
"Divergent Bodyswap","상이한 신체 전환"
"Divergent Bone Offering","상이한 뼈 공물"
"Divergent Bonechill","상이한 사무치는 한기 보조"
"Divergent Boneshatter","상이한 뼈 박살"
"Divergent Brand Recall","상이한 낙인 소환"
"Divergent Brutality","상이한 포악함 보조"
"Divergent Burning Arrow","상이한 불타는 화살"
"Divergent Burning Damage","상이한 화상 피해 보조"
"Divergent Cast On Critical Strike","상이한 치명타 시 시전 보조"
