"Absolution of Inspiring","격려의 면죄"
"Glacial Cascade of the Fissure {0}","균열의 빙하 폭포 {0}"
"Glacial Hammer of Shattering {0}","산산조각의 빙하 망치 {0}"
"Ground Slam of Earthshaking {0}","지동의 대지 강타 {0}"
"Hexblast of Contradiction {0}","상반의 사술폭발 {0}"
"Hexblast of Havoc {0}","혼란의 사술폭발 {0}"
"Holy Flame Totem of Ire {0}","노여움의 신성한 화염 토템 {0}"
"Ice Crash of Cadence {0}","운율의 얼음 충격 {0}"
"Ice Nova of Deep Freeze {0}","결빙의 얼음 폭발 {0}"
"Ice Nova of Frostbolts {0}","서리 구체의 얼음 폭발 {0}"
"Ice Spear of Splitting {0}","분할의 얼음 창 {0}"
"Ice Trap of Hollowness {0}","무상의 얼음 덫 {0}"
"Icicle Mine of Fanning {0}","퍼짐의 고드름 지뢰 {0}"
"Icicle Mine of Sabotage {0}","방해 공작의 고드름 지뢰 {0}"
"Infernal Blow of Immolation {0}","제물의 지옥불 맹타 {0}"
"Kinetic Bolt of Fragmentation {0}","파쇄의 역학 투사체 {0}"
"Lacerate of Butchering {0}","도살의 피부 찢기 {0}"
"Lacerate of Haemorrhage {0}","실혈의 피부 찢기 {0}"
"Lancing Steel of Spraying {0}","분사의 강철 관통 {0}"
"Leap Slam of Groundbreaking {0}","땅 분쇄의 도약 강타 {0}"
"Lightning Arrow of Electrocution {0}","전기 처형의 번개 화살 {0}"
"Lightning Conduit of the Heavens {0}","천국의 번개 도관 {0}"
"Lightning Spire Trap of Overloading {0}","과부하의 번개 첨탑 덫 {0}"
"Lightning Spire Trap of Zapping {0}","전류의 번개 첨탑 덫 {0}"
"Lightning Strike of Arcing {0}","전호의 번개 타격 {0}"
"Lightning Tendrils of Eccentricity {0}","기행의 덩굴 번개 {0}"
"Lightning Tendrils of Escalation {0}","격화의 덩굴 번개 {0}"
"Lightning Trap of Sparking {0}","전기불꽃의 번개 덫 {0}"
"Mirror Arrow of Bombarding Clones {0}","포격 분신의 거울 화살 {0}"
"Mirror Arrow of Prismatic Clones {0}","분광 분신의 거울 화살 {0}"
"Molten Strike of the Zenith {0}","북극성의 용암 타격 {0}"
"Pacify {0}","진정 {0}"
"Penance Brand of Conduction {0}","전도의 속죄의 낙인 {0}"
"Penance Brand of Dissipation {0}","소실의 속죄의 낙인 {0}"
"Penance Mark {0}","속죄의 징표 {0}"
"Perforate of Bloodshed {0}","유혈의 천공 {0}"
"Perforate of Duality {0}","이중성의 천공 {0}"
"Power Siphon of the Archmage {0}","대마법사의 권능 착취 {0}"
"Purifying Flame of Revelations {0}","계시의 정화의 불길 {0}"
"Pyroclast Mine of Sabotage {0}","방해 공작의 화산탄 지뢰 {0}"
"Rage Vortex of Berserking {0}","광폭화의 격노 소용돌이 {0}"
"Rain of Arrows of Artillery {0}","포대의 화살비 {0}"
"Rain of Arrows of Saturation {0}","포화의 화살비 {0}"
"Raise Spectre of Transience {0}","덧없음의 망령 소환 {0}"
"Raise Zombie of Falling {0}","추락의 좀비 소환 {0}"
"Raise Zombie of Slamming {0}","강타의 좀비 소환 {0}"
"Ravenous {0}","굶주림 {0}"
"Reave of Refraction {0}","굴절의 약탈 {0}"
"Righteous Fire of Arcane Devotion {0}","비전 헌신의 정의의 화염 {0}"
"Rune Blast of Teleportation {0}","순간이동의 룬 폭발 {0}"
"Scorching Ray of Immolation {0}","제물의 작열 광선 {0}"
"Scourge Arrow of Menace {0}","위험의 재앙의 화살 {0}"
"Seismic Trap of Swells {0}","팽창의 지진 덫 {0}"
"Shattering Steel of Ammunition {0}","탄약의 강철 파편 {0}"
"Shield Crush of the Chieftain {0}","부족장의 방패 타쇄 {0}"
"Shrapnel Ballista of Steel {0}","강철의 파편 쇠뇌 {0}"
"Siege Ballista of Splintering {0}","파편의 공성 쇠뇌 {0}"
"Smite of Divine Judgement {0}","신성한 심판의 징벌 {0}"
"Soulrend of Reaping {0}","낫질의 영혼 분리 {0}"
"Soulrend of the Spiral {0}","나선의 영혼 분리 {0}"
"Spark of Unpredictability {0}","예측 불허의 전기불꽃 {0}"
"Spark of the Nova {0}","폭발의 전기불꽃 {0}"
"Spectral Shield Throw of Shattering {0}","산산조각의 환영 방패 투척 {0}"
"Spectral Throw of Materialising {0}","구체화의 환영 무기 투척 {0}"
"Split Arrow of Splitting {0}","분할의 분할 화살 {0}"
"Splitting Steel of Ammunition {0}","탄약의 강철 분할 {0}"
"Spray Paint Blood {0}","핏빛 물감 뿌리기 {0}"
"Spray Paint Celestial {0}","천공의 물감 뿌리기 {0}"
"Spray Paint Magmatic {0}","마그마 물감 뿌리기 {0}"
"Storm Brand of Indecision {0}","우유부단의 폭풍의 낙인 {0}"
"Storm Rain of the Conduit {0}","도관의 폭풍우 {0}"
"Storm Rain of the Fence {0}","울타리의 폭풍우 {0}"
"Stormbind of Teleportation {0}","순간이동의 폭풍 연대 {0}"
"Summon Carrion Golem of Hordes {0}","군단의 부패 골렘 소환 {0}"
"Summon Carrion Golem of Scavenging {0}","청소부의 부패 골렘 소환 {0}"
"Summon Chaos Golem of Hordes {0}","군단의 카오스 골렘 소환 {0}"
"Summon Chaos Golem of the Maelström {0}","마엘스트롬의 카오스 골렘 소환 {0}"
"Summon Dark Effigy {0}","어둠의 제웅 소환 {0}"
"Summon Flame Golem of Hordes {0}","군단의 화염 골렘 소환 {0}"
"Summon Flame Golem of the Meteor {0}","유성의 화염 골렘 소환 {0}"
"Summon Ice Golem of Hordes {0}","군단의 얼음 골렘 소환 {0}"
"Summon Ice Golem of Shattering {0}","산산조각의 얼음 골렘 소환 {0}"
"Summon Lightning Golem of Hordes {0}","군단의 번개 골렘 소환 {0}"
"Summon Raging Spirit of Enormity {0}","극악무도의 격노의 유령 소환 {0}"
"Summon Reaper of Eviscerating {0}","적출의 수확자 소환 {0}"
"Summon Reaper of Revenants {0}","원령의 수확자 소환 {0}"
"Summon Skeletons of Archers {0}","궁수의 해골 소환 {0}"
"Summon Skeletons of Mages {0}","마법사의 해골 소환 {0}"
"Summon Stone Golem of Hordes {0}","군단의 돌 골렘 소환 {0}"
"Summon Stone Golem of Safeguarding {0}","방비의 돌 골렘 소환 {0}"
"Sunder of Earthbreaking {0}","대지 분쇄의 산산조각 {0}"
"Tectonic Slam of Cataclysm {0}","대재앙의 지층 강타 {0}"
"Tornado Shot of Cloudburst {0}","구름폭발의 회오리 사격 {0}"
"Toxic Rain of Sporeburst {0}","포자 폭발의 맹독성 비 {0}"
"Toxic Rain of Withering {0}","고사의 맹독성 비 {0}"
"Viper Strike of the Mamba {0}","큰독사의 맹독 타격 {0}"
"Void Sphere of Rending {0}","분리의 공허 구체 {0}"
"Volatile Dead of Confinement {0}","감금의 시체 불덩이 {0}"
"Volatile Dead of Seething {0}","끓어오름의 시체 불덩이 {0}"
"Volcanic Fissure of Snaking {0}","구불거림의 화산 균열 {0}"
"Vortex of Projection {0}","투영의 소용돌이 {0}"
"Wild Strike of Extremes {0}","극단의 사나운 타격 {0}"

"Vaal Absolution of Inspiring {0}","바알 격려의 면죄 {0}"
"Vaal Animate Guardian of Smiting {0}","바알 징벌의 수호자 기동 {0}"
"Vaal Animate Weapon of Ranged Arms {0}","바알 원거리 병기의 무기 기동 {0}"
"Vaal Animate Weapon of Self Reflection {0}","바알 자기 반사의 무기 기동 {0}"
"Vaal Arc of Oscillating {0}","바알 뇌동의 연쇄 번개 {0}"
"Vaal Arc of Surging {0}","바알 쇄도의 연쇄 번개 {0}"
"Vaal Armageddon Brand of Recall {0}","바알 소환의 종말의 낙인 {0}"
"Vaal Armageddon Brand of Volatility {0}","바알 일촉즉발의 종말의 낙인 {0}"
"Vaal Ball Lightning of Orbiting {0}","바알 공전의 구형 번개 {0}"
"Vaal Ball Lightning of Static {0}","바알 정전기의 구형 번개 {0}"
"Vaal Bane of Condemnation {0}","바알 규탄의 파멸 {0}"
"Vaal Barrage of Volley Fire {0}","바알 일제 포격의 연발 사격 {0}"
"Vaal Bear Trap of Skewers {0}","바알 꼬챙이의 곰 덫 {0}"
"Vaal Blade Blast of Dagger Detonation {0}","바알 단검 폭파의 칼날 폭격 {0}"
"Vaal Blade Blast of Unloading {0}","바알 난사의 칼날 폭격 {0}"
"Vaal Blade Flurry of Incision {0}","바알 절개의 질풍의 칼날 {0}"
"Vaal Blade Trap of Greatswords {0}","바알 대검의 칼날 덫 {0}"
"Vaal Blade Trap of Laceration {0}","바알 열상의 칼날 덫 {0}"
"Vaal Blade Vortex of the Scythe {0}","바알 낫의 칼날 소용돌이 {0}"
"Vaal Bladefall of Impaling {0}","바알 꿰뚫기의 칼날비 {0}"
"Vaal Bladefall of Volleys {0}","바알 사격 공세의 칼날비 {0}"
"Vaal Bladestorm of Uncertainty {0}","바알 불확실성의 칼날 폭풍 {0}"
"Vaal Blight of Atrophy {0}","바알 위축의 황폐 {0}"
"Vaal Blight of Contagion {0}","바알 전염의 황폐 {0}"
"Vaal Blink Arrow of Bombarding Clones {0}","바알 포격 분신의 점멸 화살 {0}"
"Vaal Blink Arrow of Prismatic Clones {0}","바알 분광 분신의 점멸 화살 {0}"
"Vaal Bodyswap of Sacrifice {0}","바알 희생의 신체 전환 {0}"
"Vaal Boneshatter of Carnage {0}","바알 살육의 뼈 박살 {0}"
"Vaal Boneshatter of Complex Trauma {0}","바알 복합 외상의 뼈 박살 {0}"
"Vaal Burning Arrow of Vigour {0}","바알 활력의 불타는 화살 {0}"
"Vaal Caustic Arrow of Poison {0}","바알 독의 부식성 화살 {0}"
"Vaal Cleave of Rage {0}","바알 격노의 회전베기 {0}"
"Vaal Cold Snap of Power {0}","바알 권능의 한파 {0}"
"Vaal Consecrated Path of Endurance {0}","바알 인내의 축성의 진격 {0}"
"Vaal Contagion of Subsiding {0}","바알 침하의 전염 {0}"
"Vaal Contagion of Transference {0}","바알 전이의 전염 {0}"
"Vaal Crackling Lance of Branching {0}","바알 파생의 치직대는 창 {0}"
"Vaal Crackling Lance of Disintegration {0}","바알 분해의 치직대는 창 {0}"
"Vaal Cremation of Exhuming {0}","바알 발굴의 시체 소각 {0}"
"Vaal Cremation of the Volcano {0}","바알 화산의 시체 소각 {0}"
"Vaal Cyclone of Tumult {0}","바알 소동의 회오리바람 {0}"
"Vaal Detonate Dead of Chain Reaction {0}","바알 연쇄 반응의 시체 폭발 {0}"
"Vaal Detonate Dead of Scavenging {0}","바알 청소부의 시체 폭발 {0}"
"Vaal Discharge of Misery {0}","바알 비참의 방출 {0}"
"Vaal Divine Ire of Disintegration {0}","바알 분해의 신성한 진노 {0}"
"Vaal Divine Ire of Holy Lightning {0}","바알 상서로운 번개의 신성한 진노 {0}"
"Vaal Dominating Blow of Inspiring {0}","바알 격려의 지배의 맹타 {0}"
"Vaal Double Strike of Impaling {0}","바알 꿰뚫기의 이중 타격 {0}"
"Vaal Double Strike of Momentum {0}","바알 기세의 이중 타격 {0}"
"Vaal Dual Strike of Ambidexterity {0}","바알 양손잡이의 쌍수 타격 {0}"
"Vaal Earthquake of Amplification {0}","바알 증폭의 지진 {0}"
"Vaal Earthshatter of Fragility {0}","바알 허약의 지면 분쇄 {0}"
"Vaal Earthshatter of Prominence {0}","바알 출중의 지면 분쇄 {0}"
"Vaal Essence Drain of Desperation {0}","바알 필사의 정수 흡수 {0}"
"Vaal Essence Drain of Wickedness {0}","바알 사악함의 정수 흡수 {0}"
"Vaal Ethereal Knives of Lingering Blades {0}","바알 지속되는 칼날의 천상의 단도 {0}"
"Vaal Ethereal Knives of the Massacre {0}","바알 도륙의 천상의 단도 {0}"
"Vaal Explosive Concoction of Destruction {0}","바알 파괴의 폭발성 혼합물 {0}"
"Vaal Explosive Trap of Magnitude {0}","바알 규모의 폭발 덫 {0}"
"Vaal Explosive Trap of Shrapnel {0}","바알 파편의 폭발 덫 {0}"
"Vaal Exsanguinate of Transmission {0}","바알 전송의 방혈 {0}"
"Vaal Eye of Winter of Finality {0}","바알 종극의 겨울의 눈 {0}"
"Vaal Eye of Winter of Transience {0}","바알 덧없음의 겨울의 눈 {0}"
"Vaal Fire Trap of Blasting {0}","바알 폭발의 화염 덫 {0}"
"Vaal Firestorm of Meteors {0}","바알 유성의 화염 폭풍 {0}"
"Vaal Firestorm of Pelting {0}","바알 퍼부음의 화염 폭풍 {0}"
"Vaal Flame Dash of Incinerating {0}","바알 소각의 화염 질주 {0}"
"Vaal Flame Dash of Return {0}","바알 귀환의 화염 질주 {0}"
"Vaal Flame Surge of Combusting {0}","바알 발화의 화염 쇄도 {0}"
"Vaal Flameblast of Celerity {0}","바알 민첩함의 화염파 {0}"
"Vaal Flameblast of Contraction {0}","바알 수축의 화염파 {0}"
"Vaal Flicker Strike of Power {0}","바알 권능의 점멸 타격 {0}"
"Vaal Forbidden Rite of Soul Sacrifice {0}","바알 영혼 희생의 금단의 의식 {0}"
"Vaal Frenzy of Onslaught {0}","바알 맹공의 격분 {0}"
"Vaal Frost Blades of Katabasis {0}","바알 퇴각의 서리 칼날 {0}"
"Vaal Frost Bomb of Forthcoming {0}","바알 임박의 서리 폭탄 {0}"
"Vaal Frost Bomb of Instability {0}","바알 불안정의 서리 폭탄 {0}"
"Vaal Frostblink of Wintry Blast {0}","바알 차가운 폭발의 서리점멸 {0}"
"Vaal Frozen Legion of Rallying {0}","바알 재집결의 얼어붙은 군단 {0}"
"Vaal Galvanic Arrow of Energy {0}","바알 에너지의 충격 화살 {0}"
"Vaal Galvanic Arrow of Surging {0}","바알 쇄도의 충격 화살 {0}"
"Vaal Galvanic Field of Intensity {0}","바알 격렬함의 충격장 {0}"
"Vaal Glacial Cascade of the Fissure {0}","바알 균열의 빙하 폭포 {0}"
"Vaal Glacial Hammer of Shattering {0}","바알 산산조각의 빙하 망치 {0}"
"Vaal Ground Slam of Earthshaking {0}","바알 지동의 대지 강타 {0}"
"Vaal Hexblast of Contradiction {0}","바알 상반의 사술폭발 {0}"
"Vaal Hexblast of Havoc {0}","바알 혼란의 사술폭발 {0}"
"Vaal Holy Flame Totem of Ire {0}","바알 노여움의 신성한 화염 토템 {0}"
"Vaal Ice Crash of Cadence {0}","바알 운율의 얼음 충격 {0}"
"Vaal Ice Nova of Deep Freeze {0}","바알 결빙의 얼음 폭발 {0}"
"Vaal Ice Nova of Frostbolts {0}","바알 서리 구체의 얼음 폭발 {0}"
"Vaal Ice Spear of Splitting {0}","바알 분할의 얼음 창 {0}"
"Vaal Ice Trap of Hollowness {0}","바알 무상의 얼음 덫 {0}"
"Vaal Icicle Mine of Fanning {0}","바알 퍼짐의 고드름 지뢰 {0}"
"Vaal Icicle Mine of Sabotage {0}","바알 방해 공작의 고드름 지뢰 {0}"
"Vaal Infernal Blow of Immolation {0}","바알 제물의 지옥불 맹타 {0}"
"Vaal Kinetic Bolt of Fragmentation {0}","바알 파쇄의 역학 투사체 {0}"
"Vaal Lacerate of Butchering {0}","바알 도살의 피부 찢기 {0}"
"Vaal Lacerate of Haemorrhage {0}","바알 실혈의 피부 찢기 {0}"
"Vaal Lancing Steel of Spraying {0}","바알 분사의 강철 관통 {0}"
"Vaal Leap Slam of Groundbreaking {0}","바알 땅 분쇄의 도약 강타 {0}"
"Vaal Lightning Arrow of Electrocution {0}","바알 전기 처형의 번개 화살 {0}"
"Vaal Lightning Conduit of the Heavens {0}","바알 천국의 번개 도관 {0}"
"Vaal Lightning Spire Trap of Overloading {0}","바알 과부하의 번개 첨탑 덫 {0}"
"Vaal Lightning Spire Trap of Zapping {0}","바알 전류의 번개 첨탑 덫 {0}"
"Vaal Lightning Strike of Arcing {0}","바알 전호의 번개 타격 {0}"
"Vaal Lightning Tendrils of Eccentricity {0}","바알 기행의 덩굴 번개 {0}"
"Vaal Lightning Tendrils of Escalation {0}","바알 격화의 덩굴 번개 {0}"
"Vaal Lightning Trap of Sparking {0}","바알 전기불꽃의 번개 덫 {0}"
"Vaal Mirror Arrow of Bombarding Clones {0}","바알 포격 분신의 거울 화살 {0}"
"Vaal Mirror Arrow of Prismatic Clones {0}","바알 분광 분신의 거울 화살 {0}"
"Vaal Molten Strike of the Zenith {0}","바알 북극성의 용암 타격 {0}"
"Vaal Pacify {0}","바알 진정 {0}"
"Vaal Penance Brand of Conduction {0}","바알 전도의 속죄의 낙인 {0}"
"Vaal Penance Brand of Dissipation {0}","바알 소실의 속죄의 낙인 {0}"
"Vaal Penance Mark {0}","바알 속죄의 징표 {0}"
"Vaal Perforate of Bloodshed {0}","바알 유혈의 천공 {0}"
"Vaal Perforate of Duality {0}","바알 이중성의 천공 {0}"
"Vaal Power Siphon of the Archmage {0}","바알 대마법사의 권능 착취 {0}"
"Vaal Purifying Flame of Revelations {0}","바알 계시의 정화의 불길 {0}"
"Vaal Pyroclast Mine of Sabotage {0}","바알 방해 공작의 화산탄 지뢰 {0}"
"Vaal Rage Vortex of Berserking {0}","바알 광폭화의 격노 소용돌이 {0}"
"Vaal Rain of Arrows of Artillery {0}","바알 포대의 화살비 {0}"
"Vaal Rain of Arrows of Saturation {0}","바알 포화의 화살비 {0}"
"Vaal Raise Spectre of Transience {0}","바알 덧없음의 망령 소환 {0}"
"Vaal Raise Zombie of Falling {0}","바알 추락의 좀비 소환 {0}"
"Vaal Raise Zombie of Slamming {0}","바알 강타의 좀비 소환 {0}"
"Vaal Ravenous {0}","바알 굶주림 {0}"
"Vaal Reave of Refraction {0}","바알 굴절의 약탈 {0}"
"Vaal Righteous Fire of Arcane Devotion {0}","바알 비전 헌신의 정의의 화염 {0}"
"Vaal Rune Blast of Teleportation {0}","바알 순간이동의 룬 폭발 {0}"
"Vaal Scorching Ray of Immolation {0}","바알 제물의 작열 광선 {0}"
"Vaal Scourge Arrow of Menace {0}","바알 위험의 재앙의 화살 {0}"
"Vaal Seismic Trap of Swells {0}","바알 팽창의 지진 덫 {0}"
"Vaal Shattering Steel of Ammunition {0}","바알 탄약의 강철 파편 {0}"
"Vaal Shield Crush of the Chieftain {0}","바알 부족장의 방패 타쇄 {0}"
"Vaal Shrapnel Ballista of Steel {0}","바알 강철의 파편 쇠뇌 {0}"
"Vaal Siege Ballista of Splintering {0}","바알 파편의 공성 쇠뇌 {0}"
