
"Abandoned Abode","버려진 거처"
"Agony Thirst","괴로운 갈증"
"Agony Thread","괴로운 실타래"
"Agony Thresher","괴로운 도리깨"
"Agony Thunder","괴로운 천둥"
"Agony Tool","괴로운 도구"
"Agony Torc","괴로운 목걸이 사슬"
"Agony Touch","괴로운 손길"
"Agony Tower","괴로운 탑"
"Agony Track","괴로운 통로"
"Agony Trail","괴로운 발자취"
"Agony Trap","괴로운 덫"
"Agony Tread","괴로운 발걸음"
"Agony Trek","괴로운 길"
"Agony Trinket","괴로운 장신구"
"Agony Turn","괴로운 선회"
"Agony Twine","괴로운 꼬임"
"Agony Twirl","괴로운 회전"
"Agony Undertaking","괴로운 일"
"Agony Urge","괴로운 열망"
"Agony Vault","괴로운 금고"
"Agony Veil","괴로운 장막"
"Agony Vessel","괴로운 그릇"
"Agony View","괴로운 관점"
"Agony Vine","괴로운 덩굴"
"Agony Visage","괴로운 얼굴"
"Agony Vise","괴로운 조임쇠"
"Agony Vision","괴로운 시각"
"Agony Visor","괴로운 차양"
"Agony Volcano","괴로운 화산"
"Agony Volley","괴로운 사격 공세"
"Agony Vow","괴로운 맹세"
"Agony Voyage","괴로운 항해"
"Agony Ward","괴로운 수호"
"Agony Warden","괴로운 간수"
"Agony Waste","괴로운 황무지"
"Agony Watch","괴로운 감시"
"Agony Watcher","괴로운 감시자"
"Agony Weaver","괴로운 직공"
"Agony Whorl","괴로운 나사선"
"Agony Wind","괴로운 바람"
"Agony Wing","괴로운 부속 건물"
"Agony Wisdom","괴로운 지혜"
"Agony Wish","괴로운 소망"
"Agony Wound","괴로운 상처"
"Agony Wrap","괴로운 겉옷"
"Agony Wreck","괴로운 붕괴"
"Agony Writ","괴로운 영장"
"Agony Ziggurat","괴로운 지구라트"
"Agony Zone","괴로운 지역"
"Ambush Abode","매복 거처"
"Ambush Abyss","매복 심연"
"Ambush Aegis","매복 비호"
"Ambush Angler","매복 낚시꾼"
"Ambush Anthem","매복 찬가"
"Ambush Apex","매복 정점"
"Ambush Apparatus","매복 기구"
"Ambush Arbiter","매복 중재자"
"Ambush Arch","매복 활"
"Ambush Arrow","매복 화살"
"Ambush Artifice","매복 책략"
"Ambush Badge","매복 배지"
"Ambush Bait","매복 미끼"
"Ambush Ballad","매복 담시"
"Ambush Band","매복 띠"
"Ambush Bane","매복 파멸"
"Ambush Barb","매복 가시"
"Ambush Barrage","매복 연발 사격"
"Ambush Barrier","매복 방어막"
"Ambush Bastion","매복 보루"
"Ambush Batter","매복 구타"
"Ambush Bauble","매복 방울"
"Ambush Bead","매복 구슬"
"Ambush Beads","매복 구슬"
"Ambush Beak","매복 부리"
"Ambush Beam","매복 광선"
"Ambush Bid","매복 노력"
"Ambush Bind","매복 묶음"
"Ambush Bite","매복 이빨"
"Ambush Blast","매복 폭발"
"Ambush Bliss","매복 지복"
"Ambush Blood","매복 피의"
"Ambush Bloom","매복 꽃"
"Ambush Blow","매복 일격"
"Ambush Blunt","매복 둔기"
"Ambush Bolt","매복 화살"
"Ambush Bond","매복 유대"
"Ambush Braid","매복 끈"
"Ambush Branch","매복 나뭇가지"
"Ambush Brand","매복 낙인"
"Ambush Breach","매복 균열"
"Ambush Breaker","매복 분쇄기"
"Ambush Breath","매복 숨결"
"Ambush Breeze","매복 바람"
"Ambush Brow","매복 이마"
"Ambush Buckle","매복 버클"
"Ambush Bulwark","매복 방벽"
"Ambush Burst","매복 격발"
"Ambush Butcher","매복 도살자"
"Ambush Cage","매복 창살"
"Ambush Caldera","매복 칼데라"
"Ambush Call","매복 소환"
"Ambush Campaign","매복 작전"
"Ambush Carapace","매복 등딱지"
"Ambush Caress","매복 손길"
"Ambush Cast","매복 던지기"
"Ambush Challenge","매복 도전"
"Ambush Chambers","매복 방"
"Ambush Chant","매복 노래"
"Ambush Charm","매복 부적"
"Ambush Choker","매복 목줄"
"Ambush Chum","매복 밑밥"
"Ambush Circle","매복 고리"
"Ambush Clasp","매복 걸쇠"
"Ambush Claw","매복 클로"
"Ambush Cloak","매복 망토"
"Ambush Clutches","매복 손아귀"
"Ambush Coat","매복 외투"
"Ambush Coffers","매복 궤짝"
"Ambush Coil","매복 감개"
"Ambush Collar","매복 목걸이"
"Ambush Colony","매복 식민지"
"Ambush Construct","매복 구조물"
"Ambush Contraption","매복 고안품"
"Ambush Cord","매복 줄"
"Ambush Core","매복 중심부"
"Ambush Corona","매복 광환"
"Ambush Court","매복 법정"
"Ambush Covenant","매복 계약"
"Ambush Cover","매복 덮개"
"Ambush Cowl","매복 고깔"
"Ambush Crack","매복 균열"
"Ambush Cradle","매복 받침대"
"Ambush Crag","매복 바위"
"Ambush Cramp","매복 경련"
"Ambush Crate","매복 나무상자"
"Ambush Creed","매복 신념"
"Ambush Crest","매복 문양"
"Ambush Crown","매복 왕관"
"Ambush Crusher","매복 타쇄자"
"Ambush Cry","매복 함성"
"Ambush Curio","매복 골동품"
"Ambush Curtain","매복 장막"
"Ambush Cut","매복 조각"
"Ambush Dart","매복 화살침"
"Ambush Dash","매복 질주"
"Ambush Deed","매복 증서"
"Ambush Delirium","매복 섬망"
"Ambush Depths","매복 심연"
"Ambush Desire","매복 갈망"
"Ambush Device","매복 장치"
"Ambush Dew","매복 이슬"
"Ambush Disguise","매복 위장"
"Ambush Dome","매복 돔"
"Ambush Dream","매복 꿈"
"Ambush Dregs","매복 찌꺼기"
"Ambush Drop","매복 방울"
"Ambush Duty","매복 의무"
"Ambush Dwelling","매복 거주지"
"Ambush Edge","매복 칼날"
"Ambush Ember","매복 잉걸불"
"Ambush Emblem","매복 상징"
"Ambush Enterprise","매복 사업"
"Ambush Equipment","매복 장착품"
"Ambush Essence","매복 에센스"
"Ambush Etcher","매복 부각사"
"Ambush Excavation","매복 발굴터"
"Ambush Excursion","매복 기행"
"Ambush Expedition","매복 탐험"
"Ambush Exploration","매복 원정"
"Ambush Eye","매복 눈"
"Ambush Fang","매복 송곳니"
"Ambush Fend","매복 방어"
"Ambush Fetish","매복 숭배물"
"Ambush Finger","매복 손가락"
"Ambush Fingers","매복 손가락"
"Ambush Firestorm","매복 화염 폭풍"
"Ambush Fish","매복 물고기"
"Ambush Fist","매복 주먹"
"Ambush Flame","매복 화염"
"Ambush Fletch","매복 화살깃"
"Ambush Flight","매복 비행"
"Ambush Folktale","매복 설화"
"Ambush Frontier","매복 개척지"
"Ambush Gaze","매복 응시"
"Ambush Gear","매복 장비"
"Ambush Gill","매복 아가미"
"Ambush Girdle","매복 허리띠"
"Ambush Glance","매복 곁눈질"
"Ambush Glare","매복 섬광"
"Ambush Glimmer","매복 미광"
"Ambush Glisten","매복 반짝임"
"Ambush Globe","매복 구체"
"Ambush Gnarl","매복 마디"
"Ambush Gnash","매복 악문 이빨"
"Ambush Goad","매복 몰이 막대"
"Ambush Gorget","매복 목가리개"
"Ambush Grasp","매복 장악"
"Ambush Grinder","매복 갈이개"
"Ambush Grip","매복 손아귀"
"Ambush Guard","매복 수호"
"Ambush Guardian","매복 가디언"
"Ambush Guide","매복 안내"
"Ambush Gutter","매복 시궁창"
"Ambush Gyre","매복 선회"
"Ambush Hail","매복 칭송"
"Ambush Halo","매복 후광"
"Ambush Hand","매복 손"
"Ambush Harness","매복 고삐"
"Ambush Haven","매복 안식처"
"Ambush Heart","매복 심장"
"Ambush Hide","매복 가죽"
"Ambush Hold","매복 유지"
"Ambush Hoof","매복 발굽"
"Ambush Hope","매복 희망"
"Ambush Horn","매복 뿔"
"Ambush Hunger","매복 갈망"
"Ambush Ichor","매복 영액"
"Ambush Idol","매복 우상"
"Ambush Impaler","매복 꼬챙이"
"Ambush Implement","매복 기물"
"Ambush Incitement","매복 조장"
"Ambush Inferno","매복 지옥불"
"Ambush Inscription","매복 명문"
"Ambush Instigation","매복 교사"
"Ambush Instrument","매복 계기"
"Ambush Invitation","매복 초대"
"Ambush Invocation","매복 기원"
"Ambush Iridescence","매복 무지개 빛깔"
"Ambush Jack","매복 상인"
"Ambush Jig","매복 지그"
"Ambush Journey","매복 여정"
"Ambush Joy","매복 기쁨"
"Ambush Keep","매복 감옥"
"Ambush Keeper","매복 보관자"
"Ambush Key","매복 열쇠"
"Ambush Kit","매복 공구"
"Ambush Knell","매복 전조"
"Ambush Knot","매복 매듭"
"Ambush Knuckle","매복 관절"
"Ambush Lahar","매복 화산이류"
"Ambush Lands","매복 땅"
"Ambush Lash","매복 채찍"
"Ambush League","매복 리그"
"Ambush Leash","매복 가죽끈"
"Ambush Leer","매복 시선"
"Ambush Lens","매복 시점"
"Ambush Line","매복 낚싯줄"
"Ambush Liturgy","매복 기도문"
"Ambush Lock","매복 자물쇠"
"Ambush Locket","매복 갑 목걸이"
"Ambush Loop","매복 고리"
"Ambush Lure","매복 루어"
"Ambush Machine","매복 장치"
"Ambush Magma","매복 마그마"
"Ambush Mandate","매복 통치"
"Ambush Mangler","매복 파괴자"
"Ambush Manifesto","매복 성명서"
"Ambush Mantle","매복 외투"
"Ambush March","매복 행진"
"Ambush Mark","매복 징표"
"Ambush Mast","매복 돛대"
"Ambush Material","매복 재료"
"Ambush Medallion","매복 메달리온"
"Ambush Mission","매복 임무"
"Ambush Mitts","매복 미트"
"Ambush Myth","매복 신화"
"Ambush Nail","매복 손톱"
"Ambush Nails","매복 손톱"
"Ambush Needle","매복 바늘"
"Ambush Nexus","매복 연결부"
"Ambush Nock","매복 활시위"
"Ambush Noose","매복 올가미"
"Ambush Oath","매복 서약"
"Ambush Oculus","매복 눈"
"Ambush Offer","매복 제안"
"Ambush Orb","매복 구체"
"Ambush Orders","매복 명령서"
"Ambush Ornament","매복 장신구"
"Ambush Oubliette","매복 지하 감옥"
"Ambush Outpost","매복 전초기지"
"Ambush Pace","매복 보조"
"Ambush Pact","매복 맹약"
"Ambush Palm","매복 손바닥"
"Ambush Panorama","매복 전경"
"Ambush Passage","매복 통로"
"Ambush Pause","매복 중지"
"Ambush Paw","매복 발"
"Ambush Peak","매복 앞챙"
"Ambush Pelt","매복 가죽모"
"Ambush Pendant","매복 펜던트"
"Ambush Pile","매복 더미"
"Ambush Pillar","매복 기둥"
"Ambush Pit","매복 구덩이"
"Ambush Pith","매복 핵심"
"Ambush Pledge","매복 선서"
"Ambush Point","매복 끝"
"Ambush Pole","매복 기둥"
"Ambush Portent","매복 전조"
"Ambush Post","매복 말뚝"
"Ambush Precinct","매복 구획"
"Ambush Prism","매복 분광기"
"Ambush Provocation","매복 촉발"
"Ambush Quarters","매복 구역"
"Ambush Quest","매복 도전"
"Ambush Quill","매복 화살"
"Ambush Rain","매복 비"
"Ambush Ram","매복 충격"
"Ambush Razor","매복 면도날"
"Ambush Reach","매복 역량"
"Ambush Reaches","매복 역량"
"Ambush Refuge","매복 피난처"
"Ambush Refuse","매복 거절"
"Ambush Relic","매복 유물"
"Ambush Remains","매복 유물"
"Ambush Remnant","매복 유물"
"Ambush Rend","매복 분리"
"Ambush Rite","매복 의례"
"Ambush Road","매복 길"
"Ambush Roar","매복 포효"
"Ambush Rock","매복 바위"
"Ambush Rod","매복 막대"
"Ambush Rook","매복 성"
"Ambush Roost","매복 보금자리"
"Ambush Rosary","매복 묵주"
"Ambush Ruin","매복 유적"
"Ambush Rupture","매복 파열"
"Ambush Saga","매복 영웅담"
"Ambush Salvation","매복 구원"
"Ambush Sanctuary","매복 성역"
"Ambush Sanctum","매복 지성소"
"Ambush Saw","매복 톱"
"Ambush Scalpel","매복 수술칼"
"Ambush Scar","매복 흉터"
"Ambush Scarab","매복 갑충석"
"Ambush Scratch","매복 찰과상"
"Ambush Scripture","매복 성서"
"Ambush Scum","매복 쓰레기"
"Ambush Secrets","매복 비밀"
"Ambush Sector","매복 영역"
"Ambush Sentry","매복 보초"
"Ambush Sepulchre","매복 매장소"
"Ambush Sever","매복 절단"
"Ambush Shackle","매복 족쇄"
"Ambush Shadows","매복 그림자"
"Ambush Shard","매복 파편"
"Ambush Shatter","매복 산산조각"
"Ambush Shell","매복 껍질"
"Ambush Shelter","매복 대피소"
"Ambush Shine","매복 광채"
"Ambush Shot","매복 사격"
"Ambush Shroud","매복 연막"
"Ambush Siege","매복 공성"
"Ambush Sight","매복 통찰력"
"Ambush Sinker","매복 봉돌"
"Ambush Skewer","매복 꼬챙이"
"Ambush Skin","매복 피부"
"Ambush Slag","매복 용재"
"Ambush Slayer","매복 슬레이어"
"Ambush Slicer","매복 썰기"
"Ambush Slippers","매복 슬리퍼"
"Ambush Sliver","매복 편린"
"Ambush Smasher","매복 파쇄기"
"Ambush Snare","매복 올가미"
"Ambush Solace","매복 위안"
"Ambush Sole","매복 밑창"
"Ambush Solitude","매복 고독"
"Ambush Song","매복 노래"
"Ambush Span","매복 발"
"Ambush Spark","매복불꽃"
"Ambush Spawn","매복 유충"
"Ambush Spear","매복 창"
"Ambush Spell","매복 주문"
"Ambush Sphere","매복 구"
"Ambush Spike","매복 가시"
"Ambush Spiker","매복 가시등"
"Ambush Spiral","매복 소용돌이"
"Ambush Spire","매복 첨탑"
"Ambush Spires","매복 첨탑"
"Ambush Splinter","매복 파편"
"Ambush Splitter","매복 스플리터"
"Ambush Spur","매복 박차"
"Ambush Star","매복 별"
"Ambush Stare","매복 눈초리"
"Ambush Stinger","매복 쐐기털"
"Ambush Stone","매복 돌"
"Ambush Strap","매복 혁대"
"Ambush Stride","매복 질주"
"Ambush Strike","매복 일격"
"Ambush Suit","매복 복장"
"Ambush Summons","매복 소환"
"Ambush Sunder","매복 작렬"
"Ambush Tackle","매복 낚시 도구"
"Ambush Tale","매복 이야기"
"Ambush Talisman","매복 부적"
"Ambush Talons","매복 발톱"
"Ambush Territory","매복 영토"
"Ambush Testament","매복 증거"
"Ambush Tether","매복 밧줄"
"Ambush Thirst","매복 갈증"
"Ambush Thread","매복 실타래"
"Ambush Thresher","매복 도리깨"
"Ambush Thunder","매복 천둥"
"Ambush Tool","매복 도구"
"Ambush Torc","매복 목걸이 사슬"
"Ambush Touch","매복 손길"
"Ambush Tower","매복 탑"
"Ambush Track","매복 통로"
"Ambush Trail","매복 발자취"
"Ambush Trap","매복 덫"
"Ambush Tread","매복 발걸음"
"Ambush Trek","매복 길"
"Ambush Trinket","매복 장신구"
"Ambush Turn","매복 선회"
"Ambush Twine","매복 꼬임"
"Ambush Twirl","매복 회전"
"Ambush Undertaking","매복 일"
"Ambush Urge","매복 열망"
"Ambush Vault","매복 금고"
"Ambush Veil","매복 장막"
"Ambush Vessel","매복 그릇"
"Ambush View","매복 관점"
"Ambush Vine","매복 덩굴"
"Ambush Visage","매복 얼굴"
"Ambush Vise","매복 조임쇠"
"Ambush Vision","매복 시각"
"Ambush Visor","매복 차양"
"Ambush Volcano","매복 화산"
"Ambush Volley","매복 사격 공세"
"Ambush Vow","매복 맹세"
"Ambush Voyage","매복 항해"
"Ambush Ward","매복 수호"
"Ambush Warden","매복 간수"
"Ambush Waste","매복 황무지"
"Ambush Watch","매복 감시"
"Ambush Watcher","매복 감시자"
"Ambush Weaver","매복 직공"
"Ambush Whorl","매복 나사선"
"Ambush Wind","매복 바람"
"Ambush Wing","매복 부속 건물"
"Ambush Wisdom","매복 지혜"
"Ambush Wish","매복 소망"
"Ambush Wound","매복 상처"
"Ambush Wrap","매복 겉옷"
"Ambush Wreck","매복 붕괴"
"Ambush Writ","매복 영장"
"Ambush Ziggurat","매복 지구라트"
"Ambush Zone","매복 지역"
"Anarchy Abode","혼란 거처"
"Anarchy Abyss","혼란 심연"
"Anarchy Aegis","혼란 비호"
"Anarchy Angler","혼란 낚시꾼"
"Anarchy Anthem","혼란 찬가"
"Anarchy Apex","혼란 정점"
"Anarchy Apparatus","혼란 기구"
"Anarchy Arbiter","혼란 중재자"
"Anarchy Arch","혼란 활"
"Anarchy Arrow","혼란 화살"
"Anarchy Artifice","혼란 책략"
"Anarchy Badge","혼란 배지"
"Anarchy Bait","혼란 미끼"
"Anarchy Ballad","혼란 담시"
"Anarchy Band","혼란 띠"
"Anarchy Bane","혼란 파멸"
"Anarchy Barb","혼란 가시"
"Anarchy Barrage","혼란 연발 사격"
"Anarchy Barrier","혼란 방어막"
"Anarchy Bastion","혼란 보루"
"Anarchy Batter","혼란 구타"
"Anarchy Bauble","혼란 방울"
"Anarchy Bead","혼란 구슬"
"Anarchy Beads","혼란 구슬"
"Anarchy Beak","혼란 부리"
"Anarchy Beam","혼란 광선"
"Anarchy Bid","혼란 노력"
"Anarchy Bind","혼란 묶음"
"Anarchy Bite","혼란 이빨"
"Anarchy Blast","혼란 폭발"
"Anarchy Bliss","혼란 지복"
"Anarchy Blood","혼란 피의"
"Anarchy Bloom","혼란 꽃"
"Anarchy Blow","혼란 일격"
"Anarchy Blunt","혼란 둔기"
"Anarchy Bolt","혼란 화살"
"Anarchy Bond","혼란 유대"
"Anarchy Braid","혼란 끈"
"Anarchy Branch","혼란 나뭇가지"
"Anarchy Brand","혼란 낙인"
"Anarchy Breach","혼란 균열"
"Anarchy Breaker","혼란 분쇄기"
"Anarchy Breath","혼란 숨결"
"Anarchy Breeze","혼란 바람"
"Anarchy Brow","혼란 이마"
"Anarchy Buckle","혼란 버클"
"Anarchy Bulwark","혼란 방벽"
"Anarchy Burst","혼란 격발"
"Anarchy Butcher","혼란 도살자"
"Anarchy Cage","혼란 창살"
"Anarchy Caldera","혼란 칼데라"
"Anarchy Call","혼란 소환"
"Anarchy Campaign","혼란 작전"
"Anarchy Carapace","혼란 등딱지"
"Anarchy Caress","혼란 손길"
"Anarchy Cast","혼란 던지기"
