原文(有{0}),翻譯
"{0} additional Lightning Trap Projectile","增加閃電陷阱 {0} 個額外投射物"
"{0} additional Lightning Trap Projectiles","增加閃電陷阱 {0} 個額外投射物"
"{0} additional Maps drop on Completing Area","完成此區域額外掉落 {0} 張地圖"
"{0} additional maximum Blade Flurry stages","刀鋒亂舞的最大引導層數額外增加 {0} 層"
"{0} additional Physical Damage Reduction","{0} 額外物理傷害減傷"
"{0} additional Physical Damage Reduction against Abyssal Monsters","對深淵怪物獲得 {0} 物理傷害減免"
"{0} additional Physical Damage Reduction during any Flask Effect","藥劑持續期間，獲得額外 {0} 物理傷害減免"
"{0} additional Physical Damage Reduction during Effect of any Life or Mana Flask","任意生命和魔力藥劑持續期間，獲得 {0} 額外物理傷害減免"
"{0} additional Physical Damage Reduction during Flask Effect","藥劑持續期間，獲得 {0} 額外物理傷害減免"
"{0} additional Physical Damage Reduction for each Hit you've taken Recently up to a maximum of {1}","近期每受到 1 次傷害，下次承受的物理傷害少 {0}，最多 {1}"
"{0} additional Physical Damage Reduction for each nearby Enemy, up to {1}","身邊每存在 1 個敵人，受到的物理傷害便減少 {0}，最多 {1}"
"{0} additional Physical Damage Reduction from Hits per Siphoning Charge","每有 1 個輪回球，便獲得 {0} 擊中物理傷害減免"
"{0} additional Physical Damage Reduction if you weren't Damaged by a Hit Recently","若你近期內沒被擊中後受到傷害，則獲得 {0} 物理傷害減免"
"{0} additional Physical Damage Reduction if you've Warcried in the past {1} seconds","你若過去 {1} 秒內使用過【戰吼】，則獲得 {0} 額外物理傷害減免"
"{0} additional Physical Damage Reduction per {1} Strength on Allocated Passives in Radius","範圍內每配置 {1} 點力量，便獲得 {0} 額外物理傷害減免"
"{0} additional Physical Damage Reduction per Endurance Charge","每有 1 個耐力球，便獲得 {0} 額外物理傷害減免"
"{0} additional Physical Damage Reduction per Frenzy Charge","每有一個狂怒球，可使你獲得額外 {0} 物理傷害減免"
"{0} additional Physical Damage Reduction per Keystone","每有一個鑰石，可使你獲得額外 {0} 物理傷害減免"
"{0} additional Physical Damage Reduction per Minion, up to {1}","每有 1 個召喚生物，便獲得 {0} 額外物理傷害減免，最多 {1}"
"{0} additional Physical Damage Reduction per Power Charge","每有一個暴擊球，可使你獲得額外 {0} 物理傷害減免"
"{0} additional Physical Damage Reduction per Summoned Sentinel of Purity","每召喚一個【純淨哨兵】，就獲得 {0} 額外物理傷害減免"
"{0} additional Physical Damage Reduction when on Low Life","低血時，獲得 {0} 額外物理傷害減傷"
"{0} additional Physical Damage Reduction while affected by a Guard Skill Buff","受到防衛技能增益效果影響時，獲得額外 {0} 物理傷害減免"
"{0} additional Physical Damage Reduction while affected by Determination","受到【堅定】影響時，獲得額外 {0} 物理傷害減免"
"{0} additional Physical Damage Reduction while affected by Herald of Purity","受到【純淨之捷】影響時，獲得額外 {0} 物理傷害減免"
"{0} additional Physical Damage Reduction while Bleeding","流血時獲得 {0} 的額外物理傷害減免"
"{0} additional Physical Damage Reduction while Channelling","持續吟導時獲得 {0} 額外物理傷害減傷"
"{0} additional Physical Damage Reduction while Focussed","專注時獲得額外 {0} 物理傷害減免"
"{0} additional Physical Damage Reduction while Frozen","冰凍時獲得 {0} 額外物理傷害減免"
"{0} additional Physical Damage Reduction while moving","移動時獲得額外 {0} 物理傷害減免"
"{0} additional Physical Damage Reduction while stationary","靜止時受到的物理傷害減少 {0}"
"{0} additional Physical Damage Reduction while there is only one nearby Enemy","若附近只有 1 個敵人，則受到的物理傷害減少 {0}"
"{0} additional Physical Damage Reduction while you have at least {1} Devotion","至少 {1} 點奉獻時，額外獲得 {0} 物理傷害減免"
"{0} additional Physical Damage Reduction with an Summoned Totem","召喚一個圖騰時，獲得額外 {0} 物理傷害減免"
"{0} additional target","{0} 個額外目標"
"{0} additional targets","{0} 額外目標"
"{0} Allocated Passive Skills between this Socket and your Class' starting location","此插槽和你職業的起始位置已配置 {0} 個天賦"
"{0} Armour from Equipped Shield","從盾牌獲取 {0} 的護甲"
"{0} Armour if you've Blocked Recently","近期若你有格擋則 {0} 護甲"
"{0} Armour per {1} Unreserved Maximum Mana","每 {1} 未保留的最大魔力 {0} 護甲"
"{0} Armour per active Totem","每個啟動的圖騰提供 {0} 護甲"
"{0} Armour per Summoned Totem","每個召喚的圖騰 {0} 護甲"
"{0} Armour while stationary","站立時 {0} 護甲值"
"{0} Armour while you do not have Avatar of Fire","當你沒有火之化身時 {0} 護甲"
"{0} base","{0} 基礎"
"{0} base Chaos Resist","{0} 基礎混沌抗性"
"{0} base Chaos Resist Max","{0} 基礎混沌抗性上限"
"{0} base Cold Resist","{0} 基礎冰冷抗性"
"{0} base Cold Resist Max","{0} 基礎冰冷抗性上限"
"{0} base Elemental Resist","{0} 基礎元素抗性"
"{0} base Fire Resist","{0} 基礎火焰抗性"
"{0} base Fire Resist Max","{0} 基礎火焰抗性上限"
"{0} base Lightning Resist","{0} 基礎閃電抗性"
"{0} base Lightning Resist Max","{0} 基礎閃電抗性上限"
"{0} Beyond Uniques drop when the first Unique Monster from Beyond is slain","擊殺的第一個超越頭目額外掉落 {0} 個超越傳奇物品"
"{0} Blight Chests are Lucky","{0} 個枯疫寶箱為幸運"
"{0} chance for {1} of Elemental Damage to be gained as Extra Chaos Damage","有 {0} 的機率獲得等同 {1} 元素傷害的混沌傷害"
"{0} chance for Attacks to Maim on Hit against Bleeding Enemies","攻擊擊中流血的敵人時，有 {0} 的機率癱瘓敵人"
"{0} chance for Attacks to Maim on Hit against Poisoned Enemies","擊中中毒的敵人有 {0} 的機率使其癱瘓"
"{0} chance for Bleeding inflicted with this Weapon to deal {1} more Damage","使用此武器攻擊所造成的流血效果有 {0} 的機率使流血傷害增加 {1}"
"{0} chance for Blight Chests to contain an additional Reward","菌潮寶箱有 {0} 的機率有一個額外獎勵"
"{0} chance for Blight Chests to drop an additional Reward","枯疫寶箱有 {0} 機率掉落一個額外的任務獎勵"
"{0} chance for Brands to Attach to a new Enemy each time they Activate","烙印每次啟動都有 {0} 的機率附著一個新敵人"
"{0} chance for Damage with Hits to be Lucky","有 {0} 的機率使傷害具有幸運一擊效果"
"{0} chance for Detonated Blades to not be removed","被引爆的劍刃有 {0} 的機率不會被移除"
"{0} chance for Discharge to deal Damage without removing Charges","【解放】造成傷害時，有 {0} 的機率不消耗能量球"
"{0} chance for Energy Shield Recharge to start when you Block","當你格擋時，能量護盾有 {0} 的機率開始回復"
"{0} chance for Energy Shield Recharge to start when you use a Skill","當你使用技能時，能量護盾有 {0} 的機率開始回復"
"{0} chance for Flasks to gain {1} Charges when you take a Critical Strike","當你受到暴擊時有 {0} 的機率獲得 {1} 個充能"
"{0} chance for Flasks to gain a Charge when you take a Critical Strike","當你受到暴擊時有 {0} 的機率獲得 1 個充能"
"{0} chance for Flasks you use to not consume Charges","你使用藥劑時有 {0} 的機率不消耗次數"
"{0} chance for Hexes to affect Hexproof Enemies","魔蠱有 {0} 的機率影響無咒的敵人"
"{0} chance for Immortal Call to increase Duration without removing Endurance Charges","【不朽怒嚎】延長持續時間時，有 {0} 的機率不消耗耐力球"
"{0} chance for Impales on Enemies you Kill to Reflect Damage to surrounding Enemies","被你擊敗的敵人身上的穿刺效果有 {0} 的機率對週圍敵人反射傷害"
"{0} chance for Kills to count twice for Rampage","擊敗敵人時有 {0} 的機率計算兩次【暴走能量】層數"
"{0} chance for Lightning to Strike the Marker when Cast","施放時有 {0} 的機率以閃電打擊標記目標"
"{0} chance for Minions to be Created with maximum Frenzy Charges","召喚生物產生時，有 {0} 的機率具有最大狂怒球"
"{0} chance for Packs to be upgraded to Magic","怪物群有 {0} 的機率晉升為魔法怪物群"
"{0} chance for Packs to be upgraded to Rare","怪物群有 {0} 的機率晉升為稀有怪物群"
"{0} chance for Phase Run to increase Duration without removing Frenzy Charges","【暗影迷蹤】延長持續時間時，有 {0} 的機率不消耗狂怒球"
"{0} chance for Poisons inflicted with this Weapon to deal {1} more Damage","使用此武器攻擊所造成的中毒效果有 {0} 的機率使中毒傷害增加 {1}"
"{0} chance for Projectiles Fired by Supported Skills to Return","被輔助技能發射的投射物有 {0} 機率返回"
"{0} chance for Projectiles to Return","投射物有 {0} 機率返回"
"{0} Chance for Puncture to Maim on hit","【放血】擊中時有 {0} 的機率造成癱瘓"
"{0} chance for Rare Packs to have an additional Rare Monster","稀有怪物群有 {0} 的機率出現 1 個額外的稀有怪物"
"{0} chance for Spectres to gain Soul Eater on Kill for {1} seconds","幽魂在擊敗敵人後有 {0} 的機率獲得噬魂者效果，持續 {1} 秒"
"{0} chance for Spell Hits against you to inflict Poison","對你的法術擊中有 {0} 的機率施加中毒"
"{0} chance for Synthesised Packs to be upgraded to Magic","虛空憶境的怪物群有 {0} 的機率晉升為魔法怪物群"
"{0} chance for Synthesised Packs to be upgraded to Rare","虛空憶境的怪物群有 {0} 的機率晉升為稀有怪物群"
"{0} chance for Synthesised Rare Packs to have an additional Rare Monster","虛空憶境稀有怪物群有 {0} 的機率出現 1 個額外的稀有怪物"
"{0} Chance for Traps to Trigger an additional time","陷阱有 {0} 的機率額外觸發一次"
"{0} chance for you and your allies to Avoid being Stunned while you are wielding a Staff","持長杖時，你和你的友軍有 {0} 的機率免疫暈眩"
"{0} chance for you and your Totems to gain an Endurance Charge when your Totems Kill a Burning Enemy","當你的圖騰擊敗燃燒中的敵人，你和你的圖騰有 {0} 的機率獲得 1 個耐力球"
"{0} chance in Heists for Basic Currency drops to be Duplicated","劫盜同盟中有 {0} 的機率複製掉落的基礎通貨物品"
"{0} chance in Heists for Chaos Orbs to drop as Blessed Orbs instead","劫盜同盟中有 {0} 的機率將掉落的混沌石變為祝福石"
"{0} chance in Heists for Chaos Orbs to drop as Divine Orbs instead","劫盜同盟中有 {0} 的機率將掉落的混沌石變為神聖石"
"{0} chance in Heists for Chaos Orbs to drop as Exalted Orbs instead","劫盜同盟中有 {0} 的機率將掉落的混沌石變為崇高石"
"{0} chance in Heists for Chromatic Orbs to drop as Jewellers Orbs instead","劫盜同盟中有 {0} 的機率將掉落的幻色石變為工匠石"
"{0} chance in Heists for Chromatic Orbs to drop as Orbs of Fusing instead","劫盜同盟中有 {0} 的機率將掉落的幻色石變為鏈結石"
"{0} chance in Heists for Currency drops to be Duplicated","劫盜同盟中有 {0} 機率複製掉落的通貨物品"
"{0} chance in Heists for Items to drop Corrupted","劫盜同盟中有 {0} 的機率使掉落的物品腐化"
"{0} chance in Heists for Items to drop fully linked","劫盜同盟中有 {0} 的機率使掉落的物品有完整連接"
"{0} chance in Heists for Items to drop Identified","劫盜同盟中有 {0} 的機率使掉落的物品被鑑定"
"{0} chance in Heists for Items to drop with an additional Socket","劫盜同盟中有 {0} 的機率使掉落的物品有一個額外插槽"
"{0} chance in Heists for Items to drop with Elder Influence","劫盜同盟中有 {0} 的機率使掉落的物品有尊師者影響效果"
"{0} chance in Heists for Items to drop with Shaper Influence","劫盜同盟中有 {0} 的機率使掉落的物品有塑界者影響效果"
"{0} chance in Heists for Jewellers Orbs to drop as Orbs of Fusing instead","劫盜同盟中有 {0} 的機率將掉落的工匠石變為鏈結石"
"{0} chance in Heists for Orbs of Alchemy to drop as Blessed Orbs instead","劫盜同盟中有 {0} 的機率將掉落的點金石變為祝福石"
"{0} chance in Heists for Orbs of Alchemy to drop as Divine Orbs instead","劫盜同盟中有 {0} 的機率將掉落的點金石變為神聖石"
"{0} chance in Heists for Orbs of Alchemy to drop as Exalted Orbs instead","劫盜同盟中有 {0} 的機率將掉落的點金石變為崇高石"
"{0} chance in Heists for Orbs of Alteration to drop as Chaos Orbs instead","劫盜同盟中有 {0} 的機率將掉落的改造石變為混沌石"
"{0} chance in Heists for Orbs of Alteration to drop as Orbs of Alchemy instead","劫盜同盟中有 {0} 的機率將掉落的改造石變為點金石"
"{0} chance in Heists for Orbs of Alteration to drop as Regal Orbs instead","劫盜同盟中有 {0} 的機率將掉落的改造石變為富豪石"
"{0} chance in Heists for Orbs of Augmentation to drop as Chaos Orbs instead","劫盜同盟中有 {0} 的機率將掉落的增幅石變為混沌石"
"{0} chance in Heists for Orbs of Augmentation to drop as Orbs of Alchemy instead","劫盜同盟中有 {0} 的機率將掉落的增幅石變為點金石"
"{0} chance in Heists for Orbs of Augmentation to drop as Regal Orbs instead","劫盜同盟中有 {0} 的機率將掉落的增幅石變為富豪石"
"{0} chance in Heists for Orbs of Regret to drop as Orbs of Annulment instead","劫盜同盟中有 {0} 的機率將掉落的後悔石變為剝離石"
"{0} chance in Heists for Orbs of Scouring  to drop as Orbs of Annulment instead","劫盜同盟中有 {0} 的機率將掉落的重鑄石變為剝離石"
"{0} chance in Heists for Orbs of Scouring  to drop as Orbs of Regret instead","劫盜同盟中有 {0} 的機率將掉落的重鑄石變為後悔石"
"{0} chance in Heists for Orbs of Transmutation to drop as Chaos Orbs instead","劫盜同盟中有 {0} 的機率將掉落的蛻變石變為混沌石"
"{0} chance in Heists for Orbs of Transmutation to drop as Orbs of Alchemy instead","劫盜同盟中有 {0} 的機率將掉落的蛻變石變為點金石"
"{0} chance in Heists for Orbs of Transmutation to drop as Regal Orbs instead","劫盜同盟中有 {0} 的機率將掉落的蛻變石變為富豪石"
"{0} chance in Heists for Regal Orbs to drop as Blessed Orbs instead","劫盜同盟中有 {0} 的機率將掉落的富豪石變為祝福石"
"{0} chance in Heists for Regal Orbs to drop as Divine Orbs instead","劫盜同盟中有 {0} 的機率將掉落的富豪石變為神聖石"
"{0} chance in Heists for Regal Orbs to drop as Exalted Orbs instead","劫盜同盟中有 {0} 的機率將掉落的富豪石變為崇高石"
"{0} chance not to consume Steel Shards","有 {0} 的機率不消耗鋼刃碎片"
"{0} chance not to Pierce Enemies","有 {0} 的機率不會貫穿敵人"
"{0} chance not to remove Buff on Skill use","使用技能有 {0} 的機率不移除增益效果"
"{0} chance not to replace the Buff when you use a Skill","你使用技能時，該增益效果有 {0} 的機率不會重復"
"{0} chance of Defusing Trapped Chests","{0} 的機率破解陷阱箱"
"{0} chance of Fire Spreading between Enemies","{0} 的機率在敵人間散播點燃"
"{0} chance on Critical Strike to create Consecrated Ground","暴擊時有 {0} 的機率制造奉獻地面"
"{0} Chance on Frenzy to gain an additional Frenzy Charge","狂怒狀態時有 {0} 的機率獲得 1 個額外的狂怒球"
"{0} chance that if you would gain a Crab Barrier, you instead gain up to your maximum number of Crab Barriers","有 {0} 的機率在你獲得 1 個【深海屏障】時，直接獲得最大上限的【深海屏障】"
"{0} chance that if you would gain Endurance Charges, you instead gain up to your maximum number of Endurance Charges","獲得耐力球時有 {0} 的機率轉而以提升你的耐力球上限"
