add,翻譯
+10% to Critical Strike Multiplier with Fire Skills,+10% 火焰技能暴擊加成
+10% to Critical Strike Multiplier with Mines,+10% 地雷暴擊加成
+10% to Critical Strike Multiplier with Swords,持劍時 +10% 暴擊加成
+10% to Critical Strike Multiplier with Totem Skills,+10% 圖騰技能暴擊加成
+10% to Critical Strike Multiplier with Traps,+10% 陷阱暴擊加成
+10% to Damage over Time Multiplier,+10% 持續傷害加成
+10% to Damage over Time Multiplier for Ailments,異常狀態 +10% 持續傷害加成
+10% to Damage over Time Multiplier for Bleeding,流血 +10% 持續傷害加成
+10% to Damage over Time Multiplier for Poison,+10% 中毒持續傷害加成
+10% to Fire and Cold Resistances,+10% 火焰與冰冷抗性
+10% to Fire Damage over Time Multiplier,+10% 火焰持續傷害加成
+10% to Fire Resistance,+10% 火焰抗性
+10% to Global Critical Strike Multiplier,+10% 全域暴擊加成
+10% to Global Critical Strike Multiplier while wielding a Staff,持長杖時 +10% 全域暴擊加成
+10% to maximum Chance to Block Attack Damage,+10% 最大攻擊傷害格擋率
+10% to Melee Critical Strike Multiplier,+10% 近戰暴擊加成
+10% to Physical Damage over Time Multiplier,+10% 物理持續傷害加成
+100 Armour per Summoned Totem,每個召喚的圖騰 +100 護甲
+100 to Accuracy Rating,+100 點命中
+100 to Accuracy Rating per Green Socket on Equipped Bow,已裝備的弓上每個綠色插槽 +100 命中值
+100 to Evasion Rating,+100 點閃避值
+100% to Fire Resistance,+100% 火焰抗性
+1000 Evasion Rating while you have Tailwind,擁有【流順之風】時閃避值 +1000
+1000 to Accuracy Rating,+1000 點命中
+1000 to Armour and Evasion Rating while you have Fortify,護體時護甲和閃避值 +1000
+11% to Chaos Resistance,+11% 混沌抗性
+12 to maximum Energy Shield,+12 最大能量護盾
+12 to maximum Life,+12 最大生命
+12% chance to Suppress Spell Damage,+12% 壓抑法術傷害率
+12% Elemental Resistances while holding a Shield,持盾時 +12% 元素抗性
+12% to all Elemental Resistances,+12% 全部元素抗性
+12% to Chaos Resistance,+12% 混沌抗性
+12% to Cold Damage over Time Multiplier,+12% 冰冷持續傷害加成
+12% to Critical Strike Multiplier,+12% 基礎暴擊加成
+12% to Critical Strike Multiplier for Spells,+12% 基礎法術暴擊加成
+12% to Critical Strike Multiplier with Bows,持弓時 +12% 暴擊加成
+12% to Critical Strike Multiplier with Staves,持長杖時 +12% 暴擊加成
+12% to Critical Strike Multiplier with Swords,持劍時 +12% 暴擊加成
+12% to Critical Strike Multiplier with Two Handed Melee Weapons,使用雙手近戰武器時 +12% 暴擊加成
+12% to Critical Strike Multiplier with Wands,持法杖時 +12% 暴擊加成
+12% to Damage over Time Multiplier,+12% 持續傷害加成
+12% to Damage over Time Multiplier for Ailments from Critical Strikes,暴擊造成異常狀態時，+12% 傷害持續時間加成
+12% to Fire Damage over Time Multiplier,+12% 火焰持續傷害加成
+12% to Fire Damage over Time Multiplier with Attack Skills,攻擊技能 +12% 火焰持續傷害加成
+12% to Global Critical Strike Multiplier,+12% 全域暴擊加成
+12% to Melee Critical Strike Multiplier,+12% 近戰暴擊加成
+14 to maximum Energy Shield,+14 最大能量護盾
+14 to maximum Life,+14 最大生命
+14 to maximum Mana,+14 最大魔力
+14% to Critical Strike Multiplier with Daggers,持匕首時 +14% 暴擊加成
+14% to Damage over Time Multiplier for Ailments from Critical Strikes,來自暴擊的異常狀態 +14% 持續傷害加成
+14% to Damage over Time Multiplier for Poison,+14% 中毒持續傷害加成
+15 Energy Shield gained on Kill,+15 擊殺回復能量護盾
+15 Life gained on Kill,+15 擊殺回復生命
+15 Mana gained on Kill,+15 擊殺回復魔力
+15 to Dexterity,+15 敏捷
+15 to Intelligence,+15 智慧
+15 to maximum Energy Shield,+15 最大能量護盾
+15 to maximum Life,+15 最大生命
+15 to maximum Mana,+15 最大魔力
+15 to Strength,+15 力量
+15% to all Elemental Resistances,+15% 全部元素抗性
+15% to Cold Resistance,+15% 冰冷抗性
+15% to Critical Strike Multiplier,+15% 基礎暴擊加成
+15% to Critical Strike Multiplier for Spells,+15% 基礎法術暴擊加成
+15% to Critical Strike Multiplier with Bows,持弓時 +15% 暴擊加成
+15% to Critical Strike Multiplier with Claws,持爪時 +15% 暴擊加成
+15% to Critical Strike Multiplier with Daggers,持匕首時 +15% 暴擊加成
+15% to Critical Strike Multiplier with Maces and Sceptres,鎚類和短杖類攻擊 +15% 暴擊傷害加成
+15% to Critical Strike Multiplier with Maces or Sceptres,錘和權杖 +15% 暴擊加成
+15% to Critical Strike Multiplier with Mines,+15% 地雷暴擊加成
+15% to Critical Strike Multiplier with Staves,持長杖時 +15% 暴擊加成
+15% to Critical Strike Multiplier with Swords,持劍時 +15% 暴擊加成
+15% to Critical Strike Multiplier with Traps,+15% 陷阱暴擊加成
+15% to Damage over Time Multiplier,+15% 持續傷害加成
+15% to Damage over Time Multiplier for Bleeding,流血 +15% 持續傷害加成
+15% to Damage over Time Multiplier for Poison,+15% 中毒持續傷害加成
+15% to Damage over Time Multiplier for Poison from Critical Strikes,來自暴擊的中毒 +15% 持續傷害加成
+15% to Fire Resistance,+15% 火焰抗性
+15% to Global Critical Strike Multiplier,+15% 全域暴擊加成
+15% to Lightning Resistance,+15% 閃電抗性
+15% to Melee Critical Strike Multiplier,+15% 近戰攻擊暴擊傷害加成
+15% to Physical Damage over Time Multiplier,+15% 物理持續傷害加成
+15% to Weapon Critical Strike Multiplier while Dual Wielding,雙持攻擊 +15% 暴擊傷害加成
+150 Armour per Summoned Totem,每個召喚的圖騰 +150 護甲
+150 to Accuracy Rating,+150 點命中
+150 to Accuracy Rating with Daggers,使用匕首類武器時 +150 點命中
+150 to Accuracy Rating with Staves,使用長杖類武器時 +150 點命中
+150 to Armour,+150 點護甲
+150 to Evasion Rating,+150 點閃避值
+16 to maximum Energy Shield,+16 最大能量護盾
+16 to maximum Life,+16 最大生命
+16 to maximum Mana,+16 最大魔力
+16% to Critical Strike Multiplier with Maces and Sceptres,鎚類和短杖類攻擊 +16% 暴擊傷害加成
+16% to Critical Strike Multiplier with Maces or Sceptres,錘和權杖 +16% 暴擊加成
+16% to Critical Strike Multiplier with Swords,劍類攻擊 +16% 暴擊傷害加成
+17% to Chaos Resistance,+17% 混沌抗性
+18% to Chaos Resistance,+18% 混沌抗性
+18% to Cold Resistance,+18% 冰冷抗性
+18% to Fire Resistance,+18% 火焰抗性
+18% to Lightning Resistance,+18% 閃電抗性
+2 Mana gained for each Enemy hit by your Attacks,你的攻擊技能 +2 擊中回復魔力
+2 to Level of all Minion Skill Gems,全部召喚物技能寶石 +2 等級
+2 to maximum number of Summoned Mirage Archers,+2 召喚幻影射手的最大數量
+2 to Melee range with Maces and Sceptres,+2 鎚類和短杖類近戰範圍
+2 to Melee range with Staves,+2 長杖類近戰範圍
+2 to Melee Strike Range,+2 近戰打擊距離
+2 to Melee Strike Range with Maces and Sceptres,使用錘和權杖時，+2 近戰打擊距離
+2 to Melee Strike Range with Staves,使用長杖時，+2 近戰打擊距離
+2 to Melee Weapon and Unarmed Attack range,+2 近戰與空手攻擊範圍
+2% Chance to Block Attack Damage,+2% 攻擊傷害格擋率
+2% Chance to Block Attack Damage while Dual Wielding,雙持時 +2% 攻擊傷害格擋率
+2% Chance to Block Attack Damage while Dual Wielding or holding a Shield,雙持或持盾 +2% 攻擊傷害格擋率
+2% Chance to Block Attack Damage while holding a Shield,持盾時 +2% 攻擊傷害格擋率
+2% Chance to Block Attack Damage while wielding a Staff,持長杖時 +2% 攻擊傷害格擋率
+2% Chance to Block Spell Damage while Dual Wielding,雙持時 +2% 法術傷害格擋率
+2% Chance to Block Spell Damage while holding a Shield,持盾時 +2% 法術傷害格擋率
+2% Chance to Block Spell Damage while wielding a Staff,持長杖時 +2% 法術傷害格擋率
+2% Critical Strike Chance while at maximum Power Charges,當暴擊球達到上限時，+2% 攻擊和法術基礎暴擊率
+2% to all maximum Elemental Resistances,+2% 全部最大元素抗性
+2% to Damage over Time Multiplier for Poison,+2% 烈毒持續傷害加成
+20 Mana gained when you Block,格擋時回復 +20 魔力
+20 to Accuracy Rating,+20 點命中
+20 to Armour,+20 點護甲
+20 to Dexterity,+20 敏捷
+20 to Dexterity and Intelligence,增加 +20 敏捷與智慧
+20 to Evasion Rating,+20 點閃避值
+20 to Intelligence,+20 智慧
+20 to Maximum Blitz Charges,+20 閃電球上限
+20 to maximum Energy Shield,+20 最大能量護盾
+20 to maximum Life,+20 最大生命
+20 to maximum Mana,+20 最大魔力
+20 to Strength,+20 力量
+20 to Strength and Dexterity,增加 +20 力量與敏捷
+20 to Strength and Intelligence,增加 +20 力量與智慧
+20% chance to Suppress Spell Damage,+20% 壓抑法術傷害率
+20% to all Elemental Resistances,+20% 全部元素抗性
+20% to Brand Critical Strike Multiplier,+20% 烙印暴擊加成
+20% to Chaos Damage over Time Multiplier,+20% 混沌持續傷害加成
+20% to Cold Damage over Time Multiplier,+20% 冰冷持續傷害加成
+20% to Critical Strike Multiplier against Burning Enemies,對燃燒的敵人 +20% 暴擊加成
+20% to Critical Strike Multiplier with Brand Skills,烙印技能 +20% 暴擊傷害加成
+20% to Critical Strike Multiplier with Claws,持爪時 +20% 暴擊加成
+20% to Critical Strike Multiplier with Daggers,持匕首時 +20% 暴擊加成
+20% to Critical Strike Multiplier with Mines,+20% 地雷暴擊傷害加成
+20% to Critical Strike Multiplier with Staves,持長杖時 +20% 暴擊加成
+20% to Critical Strike Multiplier with Totem Skills,+20% 圖騰技能暴擊加成
+20% to Critical Strike Multiplier with Traps,+20% 陷阱暴擊加成
+20% to Critical Strike Multiplier with Two Handed Melee Weapons,使用雙手近戰武器時 +20% 暴擊加成
+20% to Damage over Time Multiplier for Ailments from Critical Strikes,來自暴擊的異常狀態 +20% 持續傷害加成
+20% to Damage over Time Multiplier for Ignite from Critical Strikes,來自暴擊的點燃 +20% 持續傷害加成
+20% to Global Critical Strike Multiplier while wielding a Staff,持長杖時 +20% 全域暴擊加成
+20% to Melee Critical Strike Multiplier,+20% 近戰暴擊加成
+200 to Accuracy Rating,+200 命中值
+200 to Accuracy Rating with Axes,使用斧類武器時 +200 點命中
+200 to Accuracy Rating with Maces and Sceptres,鎚類和短杖類攻擊 +200 點命中值
+200 to Accuracy Rating with Maces or Sceptres,使用錘類武器時 +200 點命中
+200 to Accuracy Rating with Swords,使用劍類武器時 +200 點命中
+200 to Evasion Rating,+200 點閃避值
+23% to Chaos Resistance,+23% 混沌抗性
+24% to Fire Resistance,+24% 火焰抗性
+25 to Accuracy Rating,+25 點命中
+25 to maximum Life,+25 最大生命
+25 to maximum Mana,+25 最大魔力
+25% to Critical Strike Multiplier,+25% 基礎暴擊加成
+25% to Critical Strike Multiplier with Claws,持爪時 +25% 暴擊加成
+25% to Critical Strike Multiplier with Maces and Sceptres,鎚類和短杖類攻擊 +25% 暴擊傷害加成
+25% to Critical Strike Multiplier with Maces or Sceptres,錘和權杖 +25% 暴擊加成
+25% to Critical Strike Multiplier with Mines,+25% 地雷暴擊加成
+25% to Critical Strike Multiplier with Swords,持劍時 +25% 暴擊加成
+25% to Critical Strike Multiplier with Traps,+25% 陷阱暴擊加成
+25% to Damage over Time Multiplier for Ailments from Critical Strikes,來自暴擊的異常狀態 +25% 持續傷害加成
+25% to Damage over Time Multiplier for Poison,+25% 烈毒持續傷害加成
+25% to Damage over Time Multiplier for Poison from Critical Strikes,來自暴擊的中毒 +25% 持續傷害加成
+25% to Fire Damage over Time Multiplier,+25% 火焰持續傷害加成
+25% to Global Critical Strike Multiplier,+25% 全域暴擊加成
+25% to Melee Critical Strike Multiplier,+25% 近戰暴擊加成
+250 to Armour while affected by a Guard Skill Buff,受到防衛技能增益效果影響時，+250 點護甲
+3 Mana gained for each Enemy hit by your Attacks,你的攻擊技能 +3 擊中回復魔力
+3 to Melee Strike Range,+3 近戰打擊距離
+3 to Melee Strike Range with Swords,使用劍時，+3 近戰打擊距離
+3% Chance to Block Attack Damage while Dual Wielding,雙持時 +3% 攻擊傷害格擋率
+3% Chance to Block Attack Damage while Dual Wielding or holding a Shield,雙持或持盾 +3% 攻擊傷害格擋率
+3% Chance to Block Attack Damage while holding a Shield,持盾時 +3% 攻擊傷害格擋率
+3% Chance to Block Attack Damage while wielding a Staff,持長杖時 +3% 攻擊傷害格擋率
+3% Chance to Block Spell Damage while Dual Wielding,雙持時 +3% 法術傷害格擋率
+3% Chance to Block Spell Damage while holding a Shield,持盾時 +3% 法術傷害格擋率
+3% chance to Block Spell Damage while holding a Staff or Shield,持長杖或盾時，+3% 法術傷害格擋率
+3% Chance to Block Spell Damage while wielding a Staff,持長杖時 +3% 法術傷害格擋率
+3% chance to Evade Attack Hits,+3% 閃避攻擊擊中率
+3% chance to Evade Attacks,+3% 閃避攻擊
+3% chance to Suppress Spell Damage,+3% 壓抑法術傷害率
+3% to all Elemental Resistances,+3% 全部元素抗性
"+3% to all Elemental Resistances per Minion, up to 30%",每有 1 個召喚生物，+3% 點所有元素抗性，最多 30%
+3% to Chance to Evade while you have Energy Shield,擁有能量護盾時躲避機率 +3%
+3% to Chaos Damage over Time Multiplier,+3% 混沌持續傷害加成
+3% to Damage over Time Multiplier,+3% 持續傷害加成
+3% to Damage over Time Multiplier for Bleeding,流血 +3% 持續傷害加成
+3% to Damage over Time Multiplier for Poison,+3% 中毒持續傷害加成
+3% to Fire Damage over Time Multiplier,+3% 火焰持續傷害加成
+3% to maximum Chance to Block Attack Damage,+3% 最大攻擊傷害格擋率
